measured_star,separation_from_measured_position_arcsec,source_id,ra,dec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,ruwe,parallax,parallax_error,pmra,pmdec,phot_variable_flag,non_single_star
C10,0.7382330794,1824564062299354624,296.9963308535,18.7688167367,11.5856704712,11.8173856735,11.2036485672,0.6137371063,1.0941323042,2.0974598266,0.0207254924,10.8067620105,-0.2292180627,NOT_AVAILABLE,0
C10,3.1995700757,1824564062259686784,296.9970123251,18.7680411486,19.9587001801,18.1695556641,17.6238117218,0.5457439423,,,,,,NOT_AVAILABLE,0
C10,3.7849599191,1824564062259540736,296.9968561366,18.7698231708,17.9006366730,17.6547355652,16.6397552490,1.0149803162,1.0561606884,0.0439217273,0.1435028315,-4.2314791480,-7.4580154409,NOT_AVAILABLE,0
C10,4.1135565177,1824564062299395712,296.9956201220,18.7695445647,20.2709255219,,,,,,,,,NOT_AVAILABLE,0
C10,4.7867094732,1824564062299352704,296.9979453556,18.7689397014,16.5011596680,17.2842960358,15.5570249557,1.7272710800,1.0146379471,0.1413458051,0.0524890907,-3.1074224988,-5.1235828587,NOT_AVAILABLE,0
C10,5.5541185580,1824564027899486336,296.9967664784,18.7672844433,20.7789516449,19.6736621857,19.3309783936,0.3426837921,,,,,,NOT_AVAILABLE,0
C10,5.7121459173,1824564027939717248,296.9949571176,18.7683128120,17.6268501282,17.6278266907,16.4874057770,1.1404209137,,,,,,VARIABLE,0
C10,6.2162817100,1824564027899948800,296.9951658026,18.7676861163,21.1385612488,,,,,,,,,NOT_AVAILABLE,0
C10,7.4338410996,1824564062258537856,296.9953123958,18.7705152190,19.4158630371,19.5681724548,18.2205142975,1.3476581573,0.9743729234,-0.3565098614,0.3589439094,-5.8692999245,-6.3215202292,NOT_AVAILABLE,0
C10,7.5385603488,1824564062258528512,296.9987342108,18.7691262426,19.9851188660,,,,1.0690320730,1.1918452065,0.6312094331,-2.9542525962,-4.9602343495,NOT_AVAILABLE,0
C10,8.1360137885,1824564062258528640,296.9987775182,18.7696189088,19.6268901825,19.6984806061,18.4857158661,1.2127647400,1.0214085579,0.4498749296,0.4361852705,-2.3203978066,-3.7981018990,NOT_AVAILABLE,0
C10,8.1444134384,1824564027898791168,296.9958682467,18.7666442237,20.7141647339,,,,,,,,,NOT_AVAILABLE,0
C10,8.6162589383,1824564027898791424,296.9960068354,18.7664752084,19.7079505920,19.1262588501,18.0279693604,1.0982894897,1.2788283825,1.4218150633,0.5528842211,4.4880035938,0.4422180280,NOT_AVAILABLE,0
C10,9.6317234199,1824564062299356544,296.9954337670,18.7712721902,15.5685720444,16.3711299896,14.6833553314,1.6877746582,0.9503123760,0.1560288868,0.0342946015,-2.9759846146,-6.9516018605,NOT_AVAILABLE,0
C10,9.6565474559,1824564027898791296,296.9961802038,18.7661534998,19.8540897369,19.9329204559,18.6012897491,1.3316307068,1.0356191397,1.1186208951,0.4837774336,-2.7292855520,-5.1022388835,NOT_AVAILABLE,0
C10,9.6886874680,1824564062259499008,296.9990854477,18.7700249988,20.8778018951,,,,,,,,,NOT_AVAILABLE,0
C10,9.9199636965,1824564027898789120,296.9971417314,18.7661157723,19.0956745148,,,,1.2386752367,-0.1933603176,0.3175348341,-3.3615851998,-6.1653924113,NOT_AVAILABLE,0
C10,10.1363066764,1824564027899490304,296.9946048699,18.7666813480,20.1010589600,20.4218330383,19.3285503387,1.0932826996,1.0213431120,-1.2730768904,0.5890967250,-2.0287402018,-4.5565251439,NOT_AVAILABLE,0
C10,11.5016003406,1824564027898788224,296.9970032685,18.7656476482,17.3324089050,17.8205947876,16.5910167694,1.2295780182,1.0541015863,0.2147205443,0.0838958174,-2.7210010990,-5.4446619261,NOT_AVAILABLE,0
C10,11.5786199946,1824564062299355008,296.9975290983,18.7718922947,19.3016605377,19.7697525024,18.3162937164,1.4534587860,0.9140586853,0.1842679555,0.3645257950,-2.0363825356,-4.7914548861,NOT_AVAILABLE,0
C10,11.5826365101,1824564027899760768,296.9982468768,18.7660271378,21.0000076294,20.4838294983,19.6558284760,0.8280010223,,,,,,NOT_AVAILABLE,0
C11,0.6755163309,1824561657117315712,296.9726640083,18.6773476378,11.7086963654,12.4838008881,10.8453598022,1.6384410858,2.7463970184,0.3811857420,0.0404341482,-4.8848547666,-9.5216091496,NOT_AVAILABLE,0
C11,3.1276098592,1824561657117811456,296.9721792329,18.6767112369,19.0479202271,17.0670166016,15.6533021927,1.4137144089,1.0951858759,-0.5022196697,0.4673000276,-4.3578819400,-6.5989018033,NOT_AVAILABLE,0
C11,3.4636485957,1824561657078046208,296.9729430270,18.6782569261,20.5487785339,,,,,,,,,NOT_AVAILABLE,0
C11,3.5164916633,1824561657077817088,296.9737554507,18.6777745616,19.4189624786,19.3559284210,17.8462142944,1.5097141266,1.0608841181,0.7487786189,0.4057984054,-2.8357559326,-4.5314811154,NOT_AVAILABLE,0
C11,3.8818305574,1824561657075683456,296.9739694529,18.6770785124,19.0409793854,18.8611850739,17.4934062958,1.3677787781,1.0129958391,0.8936984975,0.2798812091,-4.0397889682,-3.8059326459,NOT_AVAILABLE,0
C11,7.3478272172,1824561657076718848,296.9732837896,18.6752981495,20.4474296570,20.4890251160,19.1662406921,1.3227844238,1.0456919670,-0.6423943485,0.8379415870,-3.2724934361,-4.6804164410,NOT_AVAILABLE,0
C11,7.3816124447,1824561657076733952,296.9707536362,18.6768076044,19.8075237274,19.9863700867,18.9074363708,1.0789337158,0.9935246110,0.6775786741,0.4906747341,-3.9598972916,-6.6286868915,NOT_AVAILABLE,0
