ID,ra,dec,Tmag,e_Tmag,GAIA,GAIAmag,gaiabp,gaiarp,pmRA,pmDEC,plx,Teff,rad,mass,d,numcont,contratio,disposition,duplicate_id,dstArcSec
390988385,297.04346734277,18.6989063168931,10.9372,0.0067,1824561377891719424,11.3355,11.6108,10.8545,2.0,1.7,nan,6220.0,1.33515,nan,373.477,4233,0.5471626,,,0.04045390339796411
1845606917,297.041951559033,18.6982800902179,20.1042,0.0415,1824561382199495680,20.4845,19.8449,19.1237,-1.82657,-3.57969,-2.81652,nan,nan,nan,3716.27,,nan,,,5.677183358408272
1845606910,297.043938044743,18.700436264738,19.5623,0.6,1824561382199063936,19.9923,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,5.702144630098885
1845606914,297.045347126143,18.6988892237034,18.7395,0.0097,1824561382199488640,19.217,19.0621,18.1461,-3.02991,-6.251,-0.0435764,nan,nan,nan,3822.4,,nan,,,6.381124496748039
1845606911,297.044296455521,18.7005972945904,18.4827,0.6,1824561382199064064,18.9127,nan,nan,-4.81224,-4.11146,-1.41809,nan,nan,nan,5371.71,,nan,,,6.674515597050313
1845606912,297.044633903187,18.700524852659,17.6657,0.0131,1824561382199064192,18.2112,18.0625,17.0027,-3.87437,-7.81539,-0.0565081,nan,nan,nan,4795.04,,nan,,,7.015634166554065
1845606419,297.043605510731,18.6968835378833,17.7327,0.0135,1824561176040633088,18.3175,18.5636,17.4176,-1.8279,-5.14806,-0.0313517,nan,nan,nan,4807.45,,nan,,,7.322992600427026
1845606916,297.042465063847,18.6970350614914,19.6464,0.0152,1824561382199492864,20.0292,19.5899,18.8639,-0.200851,-4.49144,0.0414242,nan,nan,nan,3197.28,,nan,,,7.591964257968216
1845606880,297.041683179669,18.697334739428,18.726,0.032,1824561382198591232,19.1708,18.7578,17.9086,-4.37719,-6.67535,0.47221,nan,nan,nan,2456.03,,nan,,,8.348535715278048
390988375,297.045437934591,18.7003365530501,16.9521,0.0115,1824561377897561216,17.5306,17.855,16.7231,nan,nan,nan,nan,nan,nan,nan,,nan,,,8.425224133951067
1845606879,297.041381696127,18.6973752051444,20.1476,0.6,1824561382198591104,20.5776,nan,nan,-4.6077,-5.33226,1.48347,nan,nan,nan,2605.5,,nan,,,9.038240523039834
1845606408,297.045809696357,18.6970325764228,18.4759,0.0167,1824561176040144128,19.05,19.2773,18.155,-3.58514,-5.89967,-0.073044,nan,nan,nan,3990.84,,nan,,,10.450042348848898
1845606443,297.044966589358,18.6962304184124,20.5927,0.0332,1824561176041567488,20.7296,19.4937,19.2158,-2.26412,1.86591,0.023689,nan,nan,nan,2952.69,,nan,,,10.916452169246496
1845606885,297.040239361493,18.6992463923986,19.333,0.0164,1824561382198603392,19.8913,19.5281,18.4404,-0.118447,-3.53062,0.374499,nan,nan,nan,2820.4,,nan,,,11.101536767504893
1845606915,297.043680979744,18.7020888433028,19.9202,0.0128,1824561382199492480,20.3759,20.0812,19.2098,-5.67524,-8.00116,0.669873,nan,nan,nan,2689.22,,nan,,,11.450788788798324
390988378,297.040173048187,18.7000526520513,14.9568,0.0174,1824561377892708864,15.9071,16.8282,14.9367,-1.29591,-3.92423,0.0209173,4615.0,14.1749,nan,8186.92,,nan,,,11.985709528943614
1845606937,297.03975881451,18.6994965872269,20.5403,0.6,1824561382200097152,20.9703,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,12.847843469893775
1845606440,297.043553668504,18.695276778044,20.6201,0.6,1824561176041416448,21.0501,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,13.09667732094386
1845606439,297.045500611795,18.6956840759548,20.8698,0.6,1824561176041414784,21.2998,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,13.522889525877188
