frame,utc_midpoint,jd_utc,bjd_tdb,shift_x,shift_y,centroid_rms,background,target_x,target_y,header_shift_x,header_shift_y,registration_shift_x,registration_shift_y,flux_T1,flux_C2,flux_C3,flux_C4,flux_C5,flux_C6,flux_C7,flux_C8,flux_C9,flux_C10,flux_C11,flux_C12,flux_C13,flux_C14,flux_C15
TOI 3718.01-0001R_65.fit,2023-10-13T03:25:45.560,2460230.642888426,2460230.647040223,-0.7495221690996914,0.016860312275184697,0.5089703830672684,934.0881652832031,1235.127604730025,1896.0376968666853,0.0,0.0,0.0,0.0,360288.03189780645,358952.3804642963,438526.134867041,377128.0026854611,283312.70960217423,724433.2407833508,595958.662310556,380661.2790231233,313571.3966478581,323236.29671636,533936.2539496223,591177.918680411,417622.93431507435,366550.97317879426,630914.8726755927
TOI 3718.01-0002R_65.fit,2023-10-13T03:27:03.260,2460230.6437877314,2460230.6479395945,-3.69618178578321,-4.0419187709738935,0.5199928405687422,926.7427062988281,1231.8662617063378,1891.876589168128,0.0,0.0,-0.0,-0.0,366980.09688416205,369798.5873761729,447863.03619531426,386956.77293094725,291117.3492838078,744595.632367071,615312.6120768395,389876.4136862792,323468.527599546,335851.55307581613,546882.6761762014,601469.6218245008,425821.66401995835,375401.24872197455,650372.9520480369
TOI 3718.01-0003R_65.fit,2023-10-13T03:28:21.040,2460230.644687963,2460230.6488398924,-3.2184556184997746,-5.049289819502064,0.3835506651870717,922.7178344726562,1232.4557813174501,1891.0144032938094,0.00869368076797147,2.7609281918172064,-0.0,-4.0,371797.68938025436,377823.5743128846,455861.24172684085,392220.105670715,292560.9507297084,755914.9638645651,619082.3720686266,394311.3148578905,325291.7273854605,340696.1672770112,553054.6007728544,609798.3693759603,432637.06123060465,379977.0285062208,661294.4260432684
TOI 3718.01-0004R_65.fit,2023-10-13T03:29:38.840,2460230.645588426,2460230.649740421,-4.099555839194636,-8.204834998065905,1.6242449510723374,917.5030822753906,1231.6637638253303,1887.7223968511346,0.00869368076797147,2.7609281918172064,-4.0,-8.0,378368.6269083794,382537.9340498579,463114.4845516442,397532.96843040874,301665.0038044881,765423.3445667329,632535.5830756276,401837.5212258124,333870.4212838989,344834.73172251007,561953.3953402109,970504.2105163197,441554.0593569194,387718.3609296329,669445.6166895299
TOI 3718.01-0005R_65.fit,2023-10-13T03:30:56.720,2460230.646489815,2460230.6506418763,-4.677500064276728,-10.127869008363177,0.4938474491341607,900.4479370117188,1231.022651745027,1885.7894542372308,0.00869368076797147,2.7609281918172064,-4.0,-8.0,385727.57250339875,385005.2086911638,468898.2125082271,403473.01530776557,303554.2502695696,773987.1060186536,643178.7048317086,410122.86000604206,338997.9656140499,348550.5084463131,570177.456038928,633202.6857859092,450369.5943039409,393760.18685597985,678893.2019074905
TOI 3718.01-0006R_65.fit,2023-10-13T03:32:14.530,2460230.6473903935,2460230.6515425215,-7.465929302805762,-11.476155747672692,0.45032494822456604,892.9492797851562,1228.365816201934,1884.5009111062202,0.01738736153572056,5.521856383563789,-8.0,-12.0,386249.56101338984,384751.1411734221,469956.311411886,401063.4634466133,301137.9653287049,774321.1606925268,641626.8529380066,406830.71820601285,337079.28465092985,346377.4176330861,573627.0901261909,627443.7432171551,449618.429009937,395692.34534943174,673778.5915744063
TOI 3718.01-0007R_65.fit,2023-10-13T03:33:32.300,2460230.6482905094,2460230.6524427035,-11.872496076970947,-16.124603884840212,0.44734940411478585,882.3747863769531,1224.040996806168,1879.9750201899951,0.01738736153572056,5.521856383563789,-12.0,-16.0,387917.6386140203,384799.0416615815,472991.10984478204,405489.7299841932,305766.9473974719,778846.2620935065,652483.9962361878,409140.0800485716,343122.5311977655,348933.7724394951,574391.0146291858,635946.468528315,452611.24653170735,398482.85438349075,678815.6777856449
TOI 3718.01-0008R_65.fit,2023-10-13T03:34:50.060,2460230.649190509,2460230.6533427695,-14.915040748961474,-17.63164775727364,0.4698467139848699,873.0970153808594,1220.9940146054767,1878.404802208247,0.026081042303469647,8.282784575310373,-16.0,-16.0,384727.8684453184,384907.4555164821,471735.991269454,406667.22406719474,301592.46135230735,778542.7041297464,648451.707660238,408771.71488267835,339762.0281951338,351996.3090817523,574534.4556773256,631109.8510805197,450869.6827224302,395965.86911921133,679203.5238314496
TOI 3718.01-0009R_65.fit,2023-10-13T03:36:07.770,2460230.6500899307,2460230.654242257,-16.310065670156973,-22.77666416225884,0.4516472584533688,871.3512573242188,1219.4078131230037,1873.2190844476381,0.026081042303469647,8.282784575310373,-16.0,-24.0,384153.6406933676,382928.96805982525,468402.39842086844,401955.0303853967,297226.33337817434,773818.3013319939,635939.7005080999,409164.6032586945,335982.2955964616,345938.0093076229,570910.9489983066,634636.4919550584,446920.3820478469,390381.65295237966,677893.0305890354
TOI 3718.01-0010R_65.fit,2023-10-13T03:37:25.490,2460230.6509894677,2460230.6551418602,-15.583158316514755,-24.73491050780524,0.49905239333266205,865.9408569335938,1220.3561556467027,1871.4101317396508,0.026081042303469647,8.282784575310373,-16.0,-24.0,379706.87788284256,379623.84023258614,465573.3326468243,398013.2810494354,302832.22650426894,767218.5819664615,641826.362051253,404579.47896390257,335307.058686247,342012.27843643876,566733.9711980054,626122.2881552861,446098.7780599762,392496.8877859742,671269.2291859051
TOI 3718.01-0011R_65.fit,2023-10-13T03:38:43.270,2460230.651889699,2460230.6560421577,-16.07551770612156,-25.4896757731741,0.4629507851202502,860.525390625,1219.8023411987615,1870.554629184231,0.03477472307144112,11.043712767127579,-16.0,-24.0,383993.6119421772,381971.39377931785,466847.8127849625,398981.29689369886,300548.62989954767,769656.233329452,641861.9461444945,407277.3491390592,336124.1379522586,346504.26316717244,570657.3487978979,630682.8892211795,449629.82691487356,394839.8818449025,675858.2331392488
TOI 3718.01-0012R_65.fit,2023-10-13T03:40:01.010,2460230.6527894675,2460230.656941992,-16.291165440764985,-28.363452392395175,0.457452671571638,867.4862670898438,1219.4832019569808,1867.7378198950198,0.03477472307144112,11.043712767127579,-16.0,-28.0,384435.2214828739,382823.55956007424,470069.0826851388,400193.14520822396,300735.44224869774,769718.5196381249,645575.6724905885,408010.84269006585,338075.8160168879,343519.8420713305,572835.384428819,631269.5956475104,453835.10544493725,395567.30384428985,673550.3569860153
TOI 3718.01-0013R_65.fit,2023-10-13T03:41:18.790,2460230.6536896992,2460230.65784229,-18.174282067546983,-30.622030463793635,0.420723043260373,858.1465454101562,1217.508326336868,1865.4248673099578,0.03477472307144112,11.043712767127579,-16.0,-32.0,391132.6341329152,385873.8572848167,472805.9156301796,404691.8270931626,306762.68454437295,779801.6369964741,653018.1254567953,412316.4610849479,339846.47603332996,347134.1236035079,574364.1284013053,638475.5156414198,453173.9506006747,397736.21452695807,680801.7475877817
TOI 3718.01-0014R_65.fit,2023-10-13T03:42:36.560,2460230.654589815,2460230.658742472,-19.459940349269118,-34.34744712396605,0.5072289585834199,852.5137329101562,1216.2387257161206,1861.6556971447353,0.043468403839190206,13.804640958874161,-20.0,-32.0,391275.74007312383,387404.63641538157,476867.4719003807,412488.44491267053,308925.2766980708,783646.735915515,658778.9325105713,414060.89912979235,346837.8933733599,351596.04560735833,580861.9448515174,641617.732959361,455968.95768294006,400549.45355108567,684109.0048702318
TOI 3718.01-0015R_65.fit,2023-10-13T03:43:54.300,2460230.6554895835,2460230.6596423066,-20.654291476159415,-36.747432745060905,0.4621773159076256,849.1350708007812,1215.050159117234,1859.3133297831882,0.043468403839190206,13.804640958874161,-20.0,-36.0,390726.8914822688,387320.89827745897,475015.21828740253,407697.00835216616,307231.39569516806,776052.926016129,660127.2585267726,414259.0729655246,345934.1162906027,350164.5602158215,579636.3559697816,643392.3482776659,459832.97219310235,398374.24571025325,682191.4174529262
TOI 3718.01-0016R_65.fit,2023-10-13T03:45:12.050,2460230.6563894674,2460230.6605422567,-22.237299997823357,-38.98713939383299,0.4560398575975246,831.23779296875,1213.471430118558,1857.2318071636462,0.043468403839190206,13.804640958874161,-20.0,-40.0,394385.33814923046,392780.00622533006,477764.95935830346,414845.45123204996,311329.2668427435,790698.5260087885,666817.1899133988,421006.467571729,348273.74089662405,355229.58742332645,588198.9624329283,649201.9321754933,466811.5067989497,406209.2303134237,689641.1354490627
TOI 3718.01-0017R_65.fit,2023-10-13T03:46:29.780,2460230.6572891204,2460230.6614419757,-23.31392405501572,-42.27296648436459,0.48033497002996406,825.78173828125,1212.4703685824481,1853.8279219014166,0.052162084606939295,16.565569150620746,-24.0,-40.0,394599.9937704571,391995.52066973713,480729.58693857386,413994.0196636326,311486.7557539912,786365.4176223712,665037.6641448853,420003.73409644084,346696.1370101314,356330.61025659495,584554.9419447326,647749.4593526816,460471.8400850763,401562.08206981164,687157.7190353208
TOI 3718.01-0018R_65.fit,2023-10-13T03:47:47.510,2460230.6581887733,2460230.662341695,-27.566831911721692,-45.732590456246726,0.5363413103861588,816.5886840820312,1208.4409932787553,1850.3625785504216,0.052162084606939295,16.565569150620746,-28.0,-44.0,396696.2705808636,393614.1824516887,480634.5934925792,411780.1536368431,311230.2728705285,786358.9825842242,667684.1485292164,420515.55733897234,352833.13211173215,353202.41622346663,587159.5814633492,647850.233550637,461920.9646496194,402430.7009188618,685446.0831050861
TOI 3718.01-0019R_65.fit,2023-10-13T03:49:05.210,2460230.659088079,2460230.6632410665,-29.20265899576475,-49.669774814482025,0.5027872335959696,812.4942016601562,1206.5958729277634,1846.4578356244788,0.06085576537491076,19.326497342437953,-28.0,-48.0,396573.9998371318,392375.87748760544,479643.66151600773,412962.74766006623,311394.1264355413,789849.7755962756,666548.0861027362,418776.1083190022,350511.1219138771,353393.86803829134,587013.1510274531,648579.5757934451,458527.42706477735,403905.79172599304,689705.7936090577
TOI 3718.01-0020R_65.fit,2023-10-13T03:50:22.970,2460230.6599880788,2460230.6641411325,-30.40106143864182,-50.3298820151216,0.4472390368344697,807.2387084960938,1205.2884464819851,1845.778458465151,0.06085576537491076,19.326497342437953,-32.0,-48.0,394667.6318850032,391748.98992933333,478592.3283701122,408897.9354705842,310157.3228655945,781264.1371284581,665624.1057640101,417731.0117855744,347481.54242558416,350831.95492340776,585474.6249165239,646716.7731113516,462384.55348265194,405659.7764658639,680808.9441953624
TOI 3718.01-0021R_65.fit,2023-10-13T03:51:40.910,2460230.660890162,2460230.6650432823,-32.291779458942756,-55.58394386484338,0.4759045528722477,799.0239868164062,1203.4883546406847,1840.5106227263987,0.06085576537491076,19.326497342437953,-32.0,-56.0,399808.9647367912,395962.30130426167,488461.6934053169,416834.6202039983,316088.16214342683,796558.1043524018,677124.3217231085,427258.65391824674,353264.58683811035,358496.0101533588,594659.8899320528,658875.0833175746,472870.89516567974,413887.03399146814,697788.0620933074
TOI 3718.01-0022R_65.fit,2023-10-13T03:52:58.690,2460230.6617903938,2460230.66594358,-33.81044724704111,-57.05265313435234,0.4573399267704421,794.159912109375,1201.8880905718215,1838.9539000015798,0.06954944614265986,22.087425534184536,-32.0,-56.0,401115.5670912231,396104.4174825393,485838.100540173,416679.6336635862,314796.6233590561,798094.1333754628,677588.3529733367,424973.91117763077,354183.1403728755,358718.68979481945,597134.7527786479,659204.4587262524,470199.97466795146,409066.92579507874,696089.8540327896
TOI 3718.01-0023R_65.fit,2023-10-13T03:54:16.400,2460230.662689815,2460230.6668430674,-35.9881495447828,-58.59853900940027,0.4628825150254439,792.6288146972656,1199.788660313964,1837.6043207428036,0.06954944614265986,22.087425534184536,-36.0,-60.0,389247.6849518301,387376.11251012306,473956.2004383124,405942.7505065263,308132.2354308815,779542.9799711282,664771.1762665844,416883.4522856923,346717.4135500735,352104.0291561902,581573.8725746211,644485.4708891008,460939.97935349226,402461.59268504765,680120.417782959
