sequence,input_file,output_file,status,bjd_tdb,broad_x_shift_pixels,broad_y_shift_pixels,x_shift_pixels,y_shift_pixels,measured_x_shift_pixels,measured_y_shift_pixels,reference_stars_used,position_rms_pixels,median_star_width_pixels,field_match_strength,fill_value_adu,elapsed_seconds
1,TOI_3505.01_50.000s_R-0001_out.fits,TOI_3505.01_50.000s_R-0001_aligned.fits,written,2459782.598234811,0,0,0,0,0.3060117244685898,-0.27928041623772515,25,0.3587457413221397,9.821090214361886,1.0,854.8658447265625,0.06585783400078071
2,TOI_3505.01_50.000s_R-0002_out.fits,TOI_3505.01_50.000s_R-0002_aligned.fits,written,2459782.599005828,8,8,5,2,5.229836722056461,1.7629222997354645,25,0.37575311432613245,8.105526654681801,0.4617859125137329,888.6558837890625,0.17641083399939816
3,TOI_3505.01_50.000s_R-0003_out.fits,TOI_3505.01_50.000s_R-0003_aligned.fits,written,2459782.599766962,0,8,3,4,3.080167064269972,3.6804585875593148,25,0.38068854942413366,9.73110623908175,0.44848009943962097,853.2952880859375,0.19618904100207146
4,TOI_3505.01_50.000s_R-0004_out.fits,TOI_3505.01_50.000s_R-0004_aligned.fits,written,2459782.6005278192,0,8,3,5,2.867352443754271,4.685949259189783,25,0.403407844020038,8.32808565512975,0.29748645424842834,848.8425903320312,0.1759189999975206
5,TOI_3505.01_50.000s_R-0005_out.fits,TOI_3505.01_50.000s_R-0005_aligned.fits,written,2459782.6012884346,-16,8,-13,5,-12.600654945638325,4.852615452010468,25,0.4840663019179308,8.224179715661498,0.3127232789993286,748.48193359375,0.17949645800035796
6,TOI_3505.01_50.000s_R-0006_out.fits,TOI_3505.01_50.000s_R-0006_aligned.fits,written,2459782.602048698,0,8,4,5,4.472171335296252,5.4168132790023265,25,0.7227581971222358,8.066684971600486,0.45506274700164795,696.8936767578125,0.20427550000022165
7,TOI_3505.01_50.000s_R-0007_out.fits,TOI_3505.01_50.000s_R-0007_aligned.fits,written,2459782.602808816,16,8,17,5,17.054817127171646,5.218330534866936,25,0.4015665388800558,8.983299368867456,0.3782902956008911,684.5408935546875,0.1910043339994445
8,TOI_3505.01_50.000s_R-0008_out.fits,TOI_3505.01_50.000s_R-0008_aligned.fits,written,2459782.6035703677,8,8,8,5,8.109958242341918,4.949568982523203,25,0.25981315131526156,9.018266586167206,0.32088229060173035,644.7596435546875,0.19529004099968006
9,TOI_3505.01_50.000s_R-0009_out.fits,TOI_3505.01_50.000s_R-0009_aligned.fits,written,2459782.604330554,-16,8,-14,5,-14.020925028481997,5.124854084343042,25,0.3484877819244927,9.051157107909704,0.5452877283096313,629.4149169921875,0.1910559159987315
10,TOI_3505.01_50.000s_R-0010_out.fits,TOI_3505.01_50.000s_R-0010_aligned.fits,written,2459782.6050918396,-8,8,-10,4,-9.792848782451529,3.6409203225234705,25,0.47284251696918983,8.947371459939351,0.5461937189102173,619.4307861328125,0.199505833999865
11,TOI_3505.01_50.000s_R-0011_out.fits,TOI_3505.01_50.000s_R-0011_aligned.fits,written,2459782.605853456,24,8,24,5,24.040215000615717,4.857236393751805,25,0.3736732997086914,9.757716129497343,0.3331299126148224,598.3544921875,0.19947366699852864
12,TOI_3505.01_50.000s_R-0012_out.fits,TOI_3505.01_50.000s_R-0012_aligned.fits,written,2459782.6066149953,8,8,23,4,23.062737175230723,4.1811457087527515,25,0.401315218285402,9.66719191819766,0.44505178928375244,591.6285400390625,0.1945722080017731
13,TOI_3505.01_50.000s_R-0013_out.fits,TOI_3505.01_50.000s_R-0013_aligned.fits,written,2459782.607376969,-32,0,-30,1,-29.842596925434236,0.8095830968832161,25,0.35928210958127293,9.95731000987474,0.29287445545196533,608.6715087890625,0.18101845800265437
14,TOI_3505.01_50.000s_R-0014_out.fits,TOI_3505.01_50.000s_R-0014_aligned.fits,written,2459782.6081384555,-16,0,-14,1,-13.634818962987538,1.4190233589426953,25,0.6070191562175068,8.956149883958858,0.23689457774162292,635.3223876953125,0.1803585000016028
15,TOI_3505.01_50.000s_R-0015_out.fits,TOI_3505.01_50.000s_R-0015_aligned.fits,written,2459782.6088986364,0,8,4,5,3.984400879282475,5.498567554006513,25,0.6230691781437867,8.327758176813102,0.4675482213497162,635.8580322265625,0.19091904200104182
16,TOI_3505.01_50.000s_R-0016_out.fits,TOI_3505.01_50.000s_R-0016_aligned.fits,written,2459782.6096590585,16,8,17,5,16.655425691733853,5.000446878475486,25,0.48165756709552254,9.280257994042998,0.40284037590026855,613.9842529296875,0.19534970899985638
17,TOI_3505.01_50.000s_R-0017_out.fits,TOI_3505.01_50.000s_R-0017_aligned.fits,written,2459782.61042117,0,0,0,2,0.09104620338803215,1.6172968041437343,25,0.42923550648099273,9.520300473450556,0.48146918416023254,602.950439453125,0.19604720899951644
18,TOI_3505.01_50.000s_R-0018_out.fits,TOI_3505.01_50.000s_R-0018_aligned.fits,written,2459782.6111833444,0,8,3,5,3.013289496132529,4.833613311190447,25,0.28516778636778256,8.315333649957015,0.3730858564376831,636.2639770507812,0.18474904100003187
