image,slice,bjd_tdb,hours_since_first_image,astroimagej_35px_relative_brightness,photutils_20px_relative_brightness,photutils_25px_relative_brightness,photutils_30px_relative_brightness,photutils_35px_relative_brightness,photutils_40px_relative_brightness,photutils_45px_relative_brightness,photutils_50px_relative_brightness
TOI_3505.01_50.000s_R-0001_aligned.fits,1,2459782.5982348109,0.0000000000,1.0109728846,1.0119097683,1.0128100303,1.0104790471,1.0118559699,1.0125435711,1.0152987228,1.0185182655
TOI_3505.01_50.000s_R-0002_aligned.fits,2,2459782.5990058281,0.0185044147,1.0056671560,1.0073124684,1.0046827542,1.0049968507,1.0055568127,1.0049229593,1.0076637940,1.0086727468
TOI_3505.01_50.000s_R-0003_aligned.fits,3,2459782.5997669622,0.0367716327,1.0059120464,1.0084657020,1.0078496559,1.0063133271,1.0061616393,1.0073192648,1.0102200193,1.0122342227
TOI_3505.01_50.000s_R-0004_aligned.fits,4,2459782.6005278192,0.0550322011,0.9957035536,0.9982014363,0.9950863256,0.9942372844,0.9954145751,0.9949957098,0.9942602010,0.9913282309
TOI_3505.01_50.000s_R-0005_aligned.fits,5,2459782.6012884346,0.0732869692,1.0016959232,0.9992196484,0.9999853405,1.0022454532,1.0013731740,1.0000266138,1.0001976609,0.9983260615
TOI_3505.01_50.000s_R-0006_aligned.fits,6,2459782.6020486979,0.0915332884,1.0023719415,1.0034413419,1.0017449010,1.0013804972,1.0023220044,1.0010366352,1.0022217215,1.0020272817
TOI_3505.01_50.000s_R-0007_aligned.fits,7,2459782.6028088159,0.1097761206,1.0018716037,1.0003791279,1.0005584847,1.0004034784,1.0028856504,1.0046819770,1.0080343367,1.0090875107
TOI_3505.01_50.000s_R-0008_aligned.fits,8,2459782.6035703677,0.1280533634,0.9990810206,1.0005827485,0.9991020266,0.9994050940,0.9991525334,0.9995360832,1.0007948262,1.0030801422
TOI_3505.01_50.000s_R-0009_aligned.fits,9,2459782.6043305541,0.1462978385,0.9975686507,0.9943800304,0.9957585511,0.9977682162,0.9965544915,0.9946280251,0.9948453077,0.9945229375
TOI_3505.01_50.000s_R-0010_aligned.fits,10,2459782.6050918396,0.1645686887,0.9945581836,0.9977787466,0.9960574783,0.9959174714,0.9949443827,0.9950933988,0.9939299569,0.9934923650
TOI_3505.01_50.000s_R-0011_aligned.fits,11,2459782.6058534561,0.1828474849,1.0034644638,1.0044444287,1.0053274841,1.0059315179,1.0051390164,1.0014376389,1.0009773688,1.0000734798
TOI_3505.01_50.000s_R-0012_aligned.fits,12,2459782.6066149953,0.2011244260,0.9970062428,1.0020718342,1.0024265127,1.0015735794,0.9978978311,0.9974476681,0.9988543781,1.0013229527
TOI_3505.01_50.000s_R-0013_aligned.fits,13,2459782.6073769690,0.2194117941,0.9941297591,0.9986939857,0.9972724771,0.9975014436,0.9954245630,0.9941932843,0.9935441005,0.9916155423
TOI_3505.01_50.000s_R-0014_aligned.fits,14,2459782.6081384555,0.2376874723,0.9935738623,0.9961194924,0.9941577464,0.9938446519,0.9942455701,0.9944518931,0.9935490033,0.9938865288
