slice,date_obs_utc_start,exposure_seconds,stored_jd_utc_midpoint,stored_bjd_tdb,recalculated_bjd_tdb_from_jd_utc,recalculation_minus_stored_seconds,dateobs_midpoint_bjd_tdb,dateobs_midpoint_minus_stored_seconds
1,2022-07-22T02:13:25.04,50.000000000000,2459782.592918081675,2459782.598234810866,2459782.598234812263,0.000120699406,2459782.598257008940,1.917913556099
2,2022-07-22T02:14:30.74,50.000000000000,2459782.593689093832,2459782.599005828146,2459782.599005829543,0.000120699406,2459782.599017430563,1.002448797226
3,2022-07-22T02:15:36.48,50.000000000000,2459782.594450222794,2459782.599766962230,2459782.599766963627,0.000120699406,2459782.599778315052,0.980883836746
4,2022-07-22T02:16:42.23,50.000000000000,2459782.595211074688,2459782.600527819246,2459782.600527820643,0.000120699406,2459782.600539315492,0.993275642395
5,2022-07-22T02:17:47.98,50.000000000000,2459782.595971685369,2459782.601288434584,2459782.601288436446,0.000160932541,2459782.601300315931,1.026548445225
6,2022-07-22T02:18:53.61,50.000000000000,2459782.596731943544,2459782.602048697881,2459782.602048699744,0.000160932541,2459782.602059927303,0.970222055912
7,2022-07-22T02:19:59.29,50.000000000000,2459782.597492056433,2459782.602808815893,2459782.602808817755,0.000160932541,2459782.602820117958,0.976498425007
8,2022-07-22T02:21:05.11,50.000000000000,2459782.598253603093,2459782.603570367675,2459782.603570369538,0.000160932541,2459782.603581928182,0.998827815056
9,2022-07-22T02:22:10.79,50.000000000000,2459782.599013784435,2459782.604330554139,2459782.604330555536,0.000120699406,2459782.604342118371,0.999149680138
10,2022-07-22T02:23:16.54,50.000000000000,2459782.599775064737,2459782.605091839563,2459782.605091840960,0.000120699406,2459782.605103118811,0.974527001381
11,2022-07-22T02:24:22.36,50.000000000000,2459782.600536676589,2459782.605853456073,2459782.605853457935,0.000160932541,2459782.605864929501,0.991304218769
12,2022-07-22T02:25:28.17,50.000000000000,2459782.601298210677,2459782.606614995282,2459782.606614997145,0.000160932541,2459782.606626624241,1.004742085934
13,2022-07-22T02:26:33.98,50.000000000000,2459782.602060179226,2459782.607376968954,2459782.607376970816,0.000160932541,2459782.607388319448,0.980682671070
14,2022-07-22T02:27:39.79,50.000000000000,2459782.602821660694,2459782.608138455544,2459782.608138456941,0.000120699406,2459782.608150014188,0.998666882515
15,2022-07-22T02:28:45.49,50.000000000000,2459782.603581836447,2459782.608898636419,2459782.608898637816,0.000120699406,2459782.608910435811,1.019467413425
16,2022-07-22T02:29:51.17,50.000000000000,2459782.604342253879,2459782.609659058508,2459782.609659060370,0.000160932541,2459782.609670626000,0.999431312084
17,2022-07-22T02:30:57.04,50.000000000000,2459782.605104360264,2459782.610421170015,2459782.610421171878,0.000160932541,2459782.610433015507,1.023450493813
18,2022-07-22T02:32:02.86,50.000000000000,2459782.605866529513,2459782.611183344387,2459782.611183346249,0.000160932541,2459782.611194825731,0.991988182068
19,2022-07-22T02:33:08.48,50.000000000000,2459782.606626240071,2459782.611943060067,2459782.611943061464,0.000120699406,2459782.611954321619,0.972998142242
20,2022-07-22T02:34:14.23,50.000000000000,2459782.607386705931,2459782.612703530584,2459782.612703532446,0.000160932541,2459782.612715322059,1.018783450127
21,2022-07-22T02:35:20.05,50.000000000000,2459782.608148971573,2459782.613465801347,2459782.613465803210,0.000160932541,2459782.613477132749,0.979033112526
