BJD_TDB,Relative_Brightness,Uncertainty,Measurements
2459782.6028088159,1.0000831734,0.0008410248,9
2459782.6104211700,0.9998681580,0.0017772614,9
2459782.6172491317,1.0019214531,0.0006270920,9
2459782.6240319675,1.0027542020,0.0008364620,9
2459782.6308108456,1.0014019489,0.0004703319,9
2459782.6379662193,0.9988004908,0.0018843514,10
2459782.6451192242,0.9990755803,0.0006058869,9
2459782.6518941256,1.0010517980,0.0003886666,9
2459782.6586697218,1.0003251315,0.0005830219,9
2459782.6658220524,1.0001343072,0.0007187441,10
2459782.6729745255,0.9996184143,0.0007037326,9
2459782.6797503065,0.9994105840,0.0007850376,9
2459782.6865251865,1.0000000000,0.0003933675,9
2459782.6925499006,0.9999514577,0.0004027247,7
2459782.7004703423,0.9949960013,0.0013233749,10
2459782.7076630625,1.0006867639,0.0012618044,9
2459782.7144411867,1.0002360541,0.0003333709,9
2459782.7212174460,1.0001977367,0.0001688978,9
2459782.7279928620,1.0004244722,0.0005301975,9
2459782.7351455698,0.9991501180,0.0005825663,10
2459782.7422982855,1.0008122463,0.0001107943,9
2459782.7490735962,1.0005647922,0.0008589715,9
2459782.7558484720,1.0004543521,0.0003117724,9
2459782.7630124046,0.9994690515,0.0005190913,10
2459782.7701664320,1.0004984585,0.0004422436,9
2459782.7769582062,0.9958681949,0.0007163060,9
2459782.7841445738,0.9932026622,0.0012873635,8
2459782.7909768471,0.9983331462,0.0007202034,8
2459782.7958915341,0.9872872985,0.0025269179,5
2459782.8056896962,0.9880293322,0.0015176359,4
2459782.8087046882,0.9914402790,0.0000000000,1
