bin,hours,relative_brightness,uncertainty,points
0,0.1097761206,1.0000831734,0.0008410248,9
1,0.2924726196,0.9998681580,0.0017772614,9
2,0.4563436992,1.0019214531,0.0006270920,9
3,0.6191317588,1.0027542020,0.0008364620,9
4,0.7818248346,1.0014019489,0.0004703319,9
5,0.9535537977,0.9988004908,0.0018843514,10
6,1.1252259202,0.9990755803,0.0006058869,9
7,1.2878235541,1.0010517980,0.0003886666,9
8,1.4504378624,1.0003251315,0.0005830219,9
9,1.6220938023,1.0001343072,0.0007187441,10
10,1.7937531509,0.9996184143,0.0007037326,9
11,1.9563718960,0.9994105840,0.0007850376,9
12,2.1189690158,1.0000000000,0.0003933675,9
13,2.2635621540,0.9999514577,0.0004027247,7
14,2.4536527544,0.9949960013,0.0013233749,10
15,2.6262780391,1.0006867639,0.0012618044,9
16,2.7889530212,1.0002360541,0.0003333709,9
17,2.9515832439,1.0001977367,0.0001688978,9
18,3.1141932271,1.0004244722,0.0005301975,9
19,3.2858582195,0.9991501180,0.0005825663,10
20,3.4575233907,1.0008122463,0.0001107943,9
21,3.6201308481,1.0005647922,0.0008589715,9
22,3.7827278674,1.0004543521,0.0003117724,9
23,3.9546622429,0.9994690515,0.0005190913,10
24,4.1263589077,1.0004984585,0.0004422436,9
25,4.2893614881,0.9958681949,0.0007163060,9
26,4.4618343059,0.9932026622,0.0012873635,8
27,4.6258088686,0.9983331462,0.0007202034,8
28,4.7437613569,0.9872872985,0.0025269179,5
29,4.9789172430,0.9880293322,0.0015176359,4
30,5.0512770563,0.9914402790,0.0000000000,1
