image,slice,bjd_tdb,hours_since_first_image,raw_relative_brightness_10_comparisons,raw_relative_brightness_error,working_relative_brightness_7_comparisons,adopted_relative_brightness,condition_model_baseline,review_point,review_reason,condition_model_fit_eligible,used_in_primary_curve,primary_exclusion_reason,airmass,sky_counts_per_pixel,target_width_pixels,target_x_fits,target_y_fits,comparison_counts,meridian_side
TOI_3505.01_50.000s_R-0001_aligned.fits,1,2459782.5982348109,0.0000000000,1.0130493878,0.0031881215,1.0105520091,1.0130002121,1.0000485446,True,large star width,False,False,large star width,1.3202923983,849.1962257134,24.8247694347,1848.7697571312,1743.2782584044,4596506.4915307052,0.0000000000
TOI_3505.01_50.000s_R-0002_aligned.fits,2,2459782.5990058281,0.0185044147,1.0059299562,0.0033621684,1.0055267151,1.0058811261,1.0000485446,True,large star width,False,False,large star width,1.3162138108,882.3570314694,24.3831425628,1844.7591262064,1741.4450998724,4397867.9435929190,0.0000000000
TOI_3505.01_50.000s_R-0003_aligned.fits,3,2459782.5997669622,0.0367716327,1.0084330822,0.0030396722,1.0070527062,1.0083841306,1.0000485446,False,,True,True,,1.3122343787,847.5794584047,22.7037799484,1850.2821395422,1743.0062320410,4841158.7273055371,0.0000000000
TOI_3505.01_50.000s_R-0004_aligned.fits,4,2459782.6005278192,0.0550322011,0.9949777614,0.0030229009,0.9919005354,0.9949294630,1.0000485446,False,,True,True,,1.3083024089,844.2619796432,21.4197570419,1848.0226796878,1745.1369189789,4847446.1623190790,0.0000000000
TOI_3505.01_50.000s_R-0005_aligned.fits,5,2459782.6012884346,0.0732869692,1.0001317220,0.0024115991,0.9942485061,1.0000831734,1.0000485446,False,,True,True,,1.3044171489,743.2407354332,21.1127121163,1847.1035657283,1745.2067650556,5960401.9791125050,0.0000000000
TOI_3505.01_50.000s_R-0006_aligned.fits,6,2459782.6020486979,0.0915332884,1.0018335949,0.0021928566,0.9981518529,1.0017849636,1.0000485446,False,,True,True,,1.3005786035,692.0437567323,21.8074785010,1844.6342962151,1744.0147942584,6485265.3166475715,0.0000000000
TOI_3505.01_50.000s_R-0007_aligned.fits,7,2459782.6028088159,0.1097761206,1.0002993691,0.0021580846,0.9981905148,1.0002508123,1.0000485446,False,,True,True,,1.2967851812,680.1514358835,20.6455511657,1849.3655342556,1743.8986772620,6562662.6484804945,0.0000000000
TOI_3505.01_50.000s_R-0008_aligned.fits,8,2459782.6035703677,0.1280533634,0.9990552931,0.0020088185,0.9972020974,0.9990067967,1.0000485446,False,,True,True,,1.2930286207,640.3151096513,21.2958639790,1849.9370474354,1744.2577313791,6986101.1633658689,0.0000000000
TOI_3505.01_50.000s_R-0009_aligned.fits,9,2459782.6043305541,0.1462978385,0.9965386747,0.0019733243,0.9943154073,0.9964903005,1.0000485446,False,,True,True,,1.2893222509,625.6050982337,21.5654806361,1847.9480338779,1744.3548835551,7070940.1102254549,0.0000000000
TOI_3505.01_50.000s_R-0010_aligned.fits,10,2459782.6050918396,0.1645686887,0.9959451957,0.0019403147,0.9942804249,0.9958968502,1.0000485446,False,,True,True,,1.2856535573,616.7778820994,21.9372527405,1842.7451811006,1744.2345186540,7177739.8911390882,0.0000000000
TOI_3505.01_50.000s_R-0011_aligned.fits,11,2459782.6058534561,0.1828474849,1.0044339496,0.0019370885,1.0036892260,1.0043851922,1.0000485446,True,large star width,False,False,large star width,1.2820258906,594.2815139783,25.7882326873,1842.4172107822,1743.5635643336,7112509.1676822817,0.0000000000
TOI_3505.01_50.000s_R-0012_aligned.fits,12,2459782.6066149953,0.2011244260,1.0017549672,0.0019609874,1.0007963619,1.0017063397,1.0000485446,False,,True,True,,1.2784407605,588.1129106477,23.4079492028,1858.6444115367,1742.8010366471,6973201.8791402970,0.0000000000
TOI_3505.01_50.000s_R-0013_aligned.fits,13,2459782.6073769690,0.2194117941,0.9963202824,0.0019687475,0.9942352396,0.9962719188,1.0000485446,False,,True,True,,1.2748953315,605.4518701673,23.0245357145,1847.2093995452,1742.8526313244,7001386.6681061443,0.0000000000
TOI_3505.01_50.000s_R-0014_aligned.fits,14,2459782.6081384555,0.2376874723,0.9937245609,0.0020827424,0.9914946164,0.9936763233,1.0000485446,False,,True,True,,1.2713934416,631.1338134041,20.4548785360,1848.5450327655,1742.2310243248,6637368.4078174923,0.0000000000
TOI_3505.01_50.000s_R-0015_aligned.fits,15,2459782.6088986364,0.2559318133,1.0096540145,0.0020950135,1.0071676524,1.0096050036,1.0000485446,False,,True,True,,1.2679382739,630.8187589085,22.9755749198,1845.1356470749,1743.6331121972,6622929.8382202759,0.0000000000
TOI_3505.01_50.000s_R-0016_aligned.fits,16,2459782.6096590585,0.2741819434,0.9987366234,0.0019702375,0.9984308697,0.9986881425,1.0000485446,False,,True,True,,1.2645222813,610.0304156454,21.8871132672,1849.5143437389,1744.5130390924,7020608.3311222810,0.0000000000
TOI_3505.01_50.000s_R-0017_aligned.fits,17,2459782.6104211700,0.2924726196,1.0059894517,0.0019385520,1.0045478934,1.0059406187,1.0000485446,False,,True,True,,1.2611386933,598.7960155685,21.7674153144,1849.4924032374,1742.8115173014,7130649.4159063604,0.0000000000
