Image,Frame,BJD_TDB,Relative_Brightness,Flux_Error,Used_in_Plot,Notes
TOI_3505.01_50.000s_R-0001_aligned.fits,1,2459782.5982348109,1.0130002121,0.0031881215,False,large star width
TOI_3505.01_50.000s_R-0002_aligned.fits,2,2459782.5990058281,1.0058811261,0.0033621684,False,large star width
TOI_3505.01_50.000s_R-0003_aligned.fits,3,2459782.5997669622,1.0083841306,0.0030396722,True,
TOI_3505.01_50.000s_R-0004_aligned.fits,4,2459782.6005278192,0.9949294630,0.0030229009,True,
TOI_3505.01_50.000s_R-0005_aligned.fits,5,2459782.6012884346,1.0000831734,0.0024115991,True,
TOI_3505.01_50.000s_R-0006_aligned.fits,6,2459782.6020486979,1.0017849636,0.0021928566,True,
TOI_3505.01_50.000s_R-0007_aligned.fits,7,2459782.6028088159,1.0002508123,0.0021580846,True,
TOI_3505.01_50.000s_R-0008_aligned.fits,8,2459782.6035703677,0.9990067967,0.0020088185,True,
TOI_3505.01_50.000s_R-0009_aligned.fits,9,2459782.6043305541,0.9964903005,0.0019733243,True,
TOI_3505.01_50.000s_R-0010_aligned.fits,10,2459782.6050918396,0.9958968502,0.0019403147,True,
TOI_3505.01_50.000s_R-0011_aligned.fits,11,2459782.6058534561,1.0043851922,0.0019370885,False,large star width
TOI_3505.01_50.000s_R-0012_aligned.fits,12,2459782.6066149953,1.0017063397,0.0019609874,True,
TOI_3505.01_50.000s_R-0013_aligned.fits,13,2459782.6073769690,0.9962719188,0.0019687475,True,
TOI_3505.01_50.000s_R-0014_aligned.fits,14,2459782.6081384555,0.9936763233,0.0020827424,True,
TOI_3505.01_50.000s_R-0015_aligned.fits,15,2459782.6088986364,1.0096050036,0.0020950135,True,
TOI_3505.01_50.000s_R-0016_aligned.fits,16,2459782.6096590585,0.9986881425,0.0019702375,True,
TOI_3505.01_50.000s_R-0017_aligned.fits,17,2459782.6104211700,1.0059406187,0.0019385520,True,
TOI_3505.01_50.000s_R-0018_aligned.fits,18,2459782.6111833444,0.9994550993,0.0020552728,True,
TOI_3505.01_50.000s_R-0019_aligned.fits,19,2459782.6119430601,1.0003943677,0.0020549652,True,
TOI_3505.01_50.000s_R-0020_aligned.fits,20,2459782.6127035306,0.9998681580,0.0019629911,True,
TOI_3505.01_50.000s_R-0021_aligned.fits,21,2459782.6134658013,1.0043567506,0.0018812730,True,
TOI_3505.01_50.000s_R-0022_aligned.fits,22,2459782.6142264036,1.0031528306,0.0018403046,True,
TOI_3505.01_50.000s_R-0023_aligned.fits,23,2459782.6149847135,1.0009217901,0.0017641574,True,
TOI_3505.01_50.000s_R-0024_aligned.fits,24,2459782.6157393013,1.0011877149,0.0017543433,True,
TOI_3505.01_50.000s_R-0025_aligned.fits,25,2459782.6164944498,0.9972566774,0.0017443794,True,
TOI_3505.01_50.000s_R-0026_aligned.fits,26,2459782.6172491317,0.9976913982,0.0017314823,True,
TOI_3505.01_50.000s_R-0027_aligned.fits,27,2459782.6180027309,1.0044995955,0.0016823185,True,
TOI_3505.01_50.000s_R-0028_aligned.fits,28,2459782.6187564600,1.0031903565,0.0016714490,True,
TOI_3505.01_50.000s_R-0029_aligned.fits,29,2459782.6195099610,1.0061507650,0.0016339402,True,
TOI_3505.01_50.000s_R-0030_aligned.fits,30,2459782.6202637255,1.0019214531,0.0016273280,True,
TOI_3505.01_50.000s_R-0031_aligned.fits,31,2459782.6210173583,1.0048541439,0.0016316697,True,
TOI_3505.01_50.000s_R-0032_aligned.fits,32,2459782.6217716765,1.0011666333,0.0016441008,True,
TOI_3505.01_50.000s_R-0033_aligned.fits,33,2459782.6225253418,1.0027542020,0.0016025726,True,
TOI_3505.01_50.000s_R-0034_aligned.fits,34,2459782.6232786886,0.9992747403,0.0016318747,True,
TOI_3505.01_50.000s_R-0035_aligned.fits,35,2459782.6240319675,1.0061405288,0.0016320420,True,
TOI_3505.01_50.000s_R-0036_aligned.fits,36,2459782.6247849604,1.0044467597,0.0016100044,True,
TOI_3505.01_50.000s_R-0037_aligned.fits,37,2459782.6255383315,1.0012403812,0.0015942514,True,
TOI_3505.01_50.000s_R-0038_aligned.fits,38,2459782.6262915782,1.0041796780,0.0015870966,True,
TOI_3505.01_50.000s_R-0039_aligned.fits,39,2459782.6270446549,0.9972403778,0.0015699700,True,
TOI_3505.01_50.000s_R-0040_aligned.fits,40,2459782.6277982686,0.9996160425,0.0015759926,True,
TOI_3505.01_50.000s_R-0041_aligned.fits,41,2459782.6285510119,1.0060321969,0.0016170847,True,
TOI_3505.01_50.000s_R-0042_aligned.fits,42,2459782.6293042083,1.0004767076,0.0016246477,True,
TOI_3505.01_50.000s_R-0043_aligned.fits,43,2459782.6300575892,1.0014019489,0.0016364964,True,
TOI_3505.01_50.000s_R-0044_aligned.fits,44,2459782.6308108456,1.0026341647,0.0016218775,True,
TOI_3505.01_50.000s_R-0045_aligned.fits,45,2459782.6315640048,1.0020292195,0.0016283311,True,
TOI_3505.01_50.000s_R-0046_aligned.fits,46,2459782.6323167402,1.0023536525,0.0016898374,True,
TOI_3505.01_50.000s_R-0047_aligned.fits,47,2459782.6330703092,1.0006996669,0.0016948003,True,
TOI_3505.01_50.000s_R-0048_aligned.fits,48,2459782.6338234944,1.0001663635,0.0016403697,True,
TOI_3505.01_50.000s_R-0049_aligned.fits,49,2459782.6345768599,1.0026490797,0.0016398996,True,
TOI_3505.01_50.000s_R-0050_aligned.fits,50,2459782.6353294998,0.9946107116,0.0015958996,True,
TOI_3505.01_50.000s_R-0051_aligned.fits,51,2459782.6360830753,1.0046814303,0.0016388620,True,
TOI_3505.01_50.000s_R-0052_aligned.fits,52,2459782.6368365102,0.9970598845,0.0016837753,True,
TOI_3505.01_50.000s_R-0053_aligned.fits,53,2459782.6375896996,0.9960984247,0.0016079516,True,
TOI_3505.01_50.000s_R-0054_aligned.fits,54,2459782.6383427386,0.9992444588,0.0015715708,True,
TOI_3505.01_50.000s_R-0055_aligned.fits,55,2459782.6390960058,0.9983565229,0.0016354866,True,
TOI_3505.01_50.000s_R-0056_aligned.fits,56,2459782.6398489238,1.0033201940,0.0016283420,True,
TOI_3505.01_50.000s_R-0057_aligned.fits,57,2459782.6406018622,0.9934965873,0.0015541576,True,
TOI_3505.01_50.000s_R-0058_aligned.fits,58,2459782.6413543285,1.0036440180,0.0015210546,True,
TOI_3505.01_50.000s_R-0059_aligned.fits,59,2459782.6421075361,0.9984045045,0.0015830769,True,
TOI_3505.01_50.000s_R-0060_aligned.fits,60,2459782.6428602245,1.0004607399,0.0015532466,True,
TOI_3505.01_50.000s_R-0061_aligned.fits,61,2459782.6436133380,1.0014294405,0.0015411868,True,
TOI_3505.01_50.000s_R-0062_aligned.fits,62,2459782.6443660157,0.9951315662,0.0015478717,True,
TOI_3505.01_50.000s_R-0063_aligned.fits,63,2459782.6451192242,0.9983158648,0.0015590503,True,
TOI_3505.01_50.000s_R-0064_aligned.fits,64,2459782.6458724118,0.9990755803,0.0015517001,True,
TOI_3505.01_50.000s_R-0065_aligned.fits,65,2459782.6466247500,1.0009656742,0.0015258028,True,
TOI_3505.01_50.000s_R-0066_aligned.fits,66,2459782.6473772163,0.9981598056,0.0015244905,True,
TOI_3505.01_50.000s_R-0067_aligned.fits,67,2459782.6481302613,1.0003015756,0.0014971616,True,
TOI_3505.01_50.000s_R-0068_aligned.fits,68,2459782.6488823988,1.0002653420,0.0015701911,True,
TOI_3505.01_50.000s_R-0069_aligned.fits,69,2459782.6496356763,1.0030463354,0.0015518904,True,
TOI_3505.01_50.000s_R-0070_aligned.fits,70,2459782.6503884499,1.0015110124,0.0015475509,True,
TOI_3505.01_50.000s_R-0071_aligned.fits,71,2459782.6511416794,1.0023560802,0.0015157974,True,
TOI_3505.01_50.000s_R-0072_aligned.fits,72,2459782.6518941256,1.0010935713,0.0014898067,True,
TOI_3505.01_50.000s_R-0073_aligned.fits,73,2459782.6526460862,0.9988254275,0.0014944777,True,
TOI_3505.01_50.000s_R-0074_aligned.fits,74,2459782.6533985650,1.0010517980,0.0014758929,True,
TOI_3505.01_50.000s_R-0075_aligned.fits,75,2459782.6541513731,1.0003658035,0.0014821119,True,
TOI_3505.01_50.000s_R-0076_aligned.fits,76,2459782.6549045029,0.9997840809,0.0014597969,True,
TOI_3505.01_50.000s_R-0077_aligned.fits,77,2459782.6556575838,0.9980049035,0.0014758891,True,
TOI_3505.01_50.000s_R-0078_aligned.fits,78,2459782.6564107756,1.0019325953,0.0014859668,True,
TOI_3505.01_50.000s_R-0079_aligned.fits,79,2459782.6571634738,1.0015048602,0.0014918761,True,
TOI_3505.01_50.000s_R-0080_aligned.fits,80,2459782.6579167228,0.9996884302,0.0014825644,True,
TOI_3505.01_50.000s_R-0081_aligned.fits,81,2459782.6586697218,1.0024920252,0.0014833890,True,
TOI_3505.01_50.000s_R-0082_aligned.fits,82,2459782.6594229331,1.0010278679,0.0015108381,True,
TOI_3505.01_50.000s_R-0083_aligned.fits,83,2459782.6601752411,0.9991766546,0.0015599801,True,
TOI_3505.01_50.000s_R-0084_aligned.fits,84,2459782.6609284044,0.9950013638,0.0015939105,True,
TOI_3505.01_50.000s_R-0085_aligned.fits,85,2459782.6616811780,1.0003251315,0.0015232502,True,
TOI_3505.01_50.000s_R-0086_aligned.fits,86,2459782.6624343651,1.0012305732,0.0014755360,True,
TOI_3505.01_50.000s_R-0087_aligned.fits,87,2459782.6631872556,1.0023109423,0.0014904123,True,
TOI_3505.01_50.000s_R-0088_aligned.fits,88,2459782.6639406304,0.9993360459,0.0015177324,True,
TOI_3505.01_50.000s_R-0089_aligned.fits,89,2459782.6646927330,0.9972723397,0.0015147680,True,
TOI_3505.01_50.000s_R-0090_aligned.fits,90,2459782.6654457957,0.9964331008,0.0015241916,True,
TOI_3505.01_50.000s_R-0091_aligned.fits,91,2459782.6661983095,0.9989002710,0.0015603764,True,
TOI_3505.01_50.000s_R-0092_aligned.fits,92,2459782.6669506375,0.9990910909,0.0016527848,True,
TOI_3505.01_50.000s_R-0093_aligned.fits,93,2459782.6677036607,1.0009325685,0.0017006888,True,
TOI_3505.01_50.000s_R-0094_aligned.fits,94,2459782.6684568319,1.0032217413,0.0017016121,True,
TOI_3505.01_50.000s_R-0095_aligned.fits,95,2459782.6692095487,1.0019663287,0.0017809641,True,
TOI_3505.01_50.000s_R-0096_aligned.fits,96,2459782.6699625305,1.0029535745,0.0017557318,True,
TOI_3505.01_50.000s_R-0097_aligned.fits,97,2459782.6707157129,0.9991896705,0.0017073347,True,
TOI_3505.01_50.000s_R-0098_aligned.fits,98,2459782.6714689122,1.0017914938,0.0017090370,True,
