Star,Included,Scatter_percent,Clipped_scatter_percent,Median_SNR,Median_source_counts,Airmass_correlation,Width_correlation,X_correlation,Y_correlation
C2,True,0.5029989638,0.5666835238,602.1315216344,877051.2155491807,0.3063311781,0.1624816222,-0.1125559308,0.0702138561
C3,True,0.3883946108,0.4892590523,690.2022637768,1064699.4639067464,-0.2406901677,-0.1958456665,0.0678292393,-0.0566876014
C4,True,0.5917681174,0.6107657627,571.1171431600,800135.6597076460,-0.1680676742,-0.1427982720,0.0118688820,-0.0701992017
C5,True,0.4800642975,0.5033497062,599.8606510429,864860.3774334005,0.3261535822,0.3458284017,-0.0522503764,0.2634648271
C6,True,0.4107020396,0.4842887214,500.0988716661,670284.7157330203,0.1709173859,0.0366559270,-0.0148917692,-0.0298385539
C7,True,0.5663605701,0.8279001348,573.0718519113,808404.7752653346,-0.0892346809,-0.1333130608,0.0439357220,-0.0143050951
C8,True,0.7315797909,0.8025108980,701.3618275016,1100832.5328305371,-0.1211720483,0.0240193732,0.1325546823,-0.0990292112
C9,True,0.6553809279,0.6924680090,481.5070410712,636102.7213439106,0.2636146855,0.2359080839,-0.3088498108,0.0582999941
C10,True,0.3237769169,0.3780035798,506.5920997491,675386.4913088133,0.0131790835,0.0641742195,0.0756155253,-0.0089391284
C11,True,0.3914461718,0.4760378857,481.6030593182,636701.6073297595,0.0540812831,0.0607949112,-0.0660686961,0.1361638722
