model,features,parameter_count,cv_robust_scatter_fraction,cv_robust_scatter_ppt,cv_rmse_fraction,cv_rmse_ppt,robust_improvement_vs_none_percent,rmse_ratio_vs_none,blocks_better_than_none,block_count,passes_absolute_rules
none,intercept,1,0.0025150563,2.5150563288,0.0040043722,4.0043722196,0.0000000000,1.0000000000,0,8,False
airmass,airmass,2,0.0026657484,2.6657484084,0.0044245466,4.4245465573,-5.9915985929,1.1049288914,4,8,False
sky,sky,2,0.0028895980,2.8895980437,0.0043809679,4.3809678775,-14.8919811664,1.0940461169,5,8,False
width,width,2,0.0026512786,2.6512786329,0.0041598186,4.1598185758,-5.4162724897,1.0388191576,1,8,False
x,x,2,0.0025247070,2.5247070500,0.0040000863,4.0000863071,-0.3837178933,0.9989296918,3,8,False
y,y,2,0.0026461706,2.6461706069,0.0039819161,3.9819160564,-5.2131746121,0.9943920889,3,8,False
comparison_counts,comparison_counts,2,0.0027588549,2.7588548910,0.0039027276,3.9027275576,-9.6935626997,0.9746165800,4,8,False
centroid_xy,x+y,3,0.0026523117,2.6523117330,0.0039626353,3.9626353271,-5.4573491102,0.9895771696,1,8,False
airmass_sky,airmass+sky,3,0.0029586560,2.9586560018,0.0043163395,4.3163395300,-17.6377629364,1.0779066713,2,8,False
airmass_meridian,airmass+meridian_side,3,0.0029878257,2.9878257197,0.0045027328,4.5027328175,-18.7975666966,1.1244541143,3,8,False
conditions,airmass+sky+width+x+y+comparison_counts+meridian_side,8,0.0030205798,3.0205797653,0.0037194713,3.7194712832,-20.0998852663,0.9288525340,3,8,False
