slice,bjd_tdb,flux_sum_ensemble,equal_star_ensemble,inverse_error_ensemble
1,2459782.5982348109,1.0130493878,1.0128040190,1.0134047848
2,2459782.5990058281,1.0059299562,1.0049251760,1.0070305501
3,2459782.5997669622,1.0084330822,1.0080702734,1.0088043714
4,2459782.6005278192,0.9949777614,0.9944809486,0.9956490242
5,2459782.6012884346,1.0001317220,0.9998029264,1.0005728337
6,2459782.6020486979,1.0018335949,1.0015701194,1.0021766064
7,2459782.6028088159,1.0002993691,0.9996027612,1.0009182764
8,2459782.6035703677,0.9990552931,0.9984846271,0.9995826818
9,2459782.6043305541,0.9965386747,0.9965260295,0.9966816898
10,2459782.6050918396,0.9959451957,0.9954119063,0.9964648050
11,2459782.6058534561,1.0044339496,1.0039377966,1.0048639707
12,2459782.6066149953,1.0017549672,1.0015395119,1.0019963610
13,2459782.6073769690,0.9963202824,0.9957330574,0.9968616495
14,2459782.6081384555,0.9937245609,0.9939748847,0.9936646747
15,2459782.6088986364,1.0096540145,1.0092287542,1.0100809992
16,2459782.6096590585,0.9987366234,0.9981696957,0.9992593819
17,2459782.6104211700,1.0059894517,1.0056738218,1.0063429166
18,2459782.6111833444,0.9995036174,0.9990128778,0.9999985141
19,2459782.6119430601,1.0004429315,0.9998678179,1.0010502719
20,2459782.6127035306,0.9999166962,0.9995556881,1.0003535295
21,2459782.6134658013,1.0044055067,1.0038235698,1.0049119258
22,2459782.6142264036,1.0032015283,1.0030080121,1.0034710058
23,2459782.6149847135,1.0009703795,1.0006220074,1.0013080411
24,2459782.6157393013,1.0012363172,1.0010491836,1.0015007137
25,2459782.6164944498,0.9973050888,0.9971055897,0.9975625331
26,2459782.6172491317,0.9977398307,0.9972111172,0.9982006153
27,2459782.6180027309,1.0045483585,1.0039265734,1.0050517772
28,2459782.6187564600,1.0032390560,1.0027698604,1.0036407268
29,2459782.6195099610,1.0061996082,1.0058742378,1.0065225410
30,2459782.6202637255,1.0019700910,1.0017110958,1.0022407072
31,2459782.6210173583,1.0049029241,1.0044923627,1.0052510268
32,2459782.6217716765,1.0012152345,1.0007921766,1.0016013302
33,2459782.6225253418,1.0028028803,1.0023883696,1.0031772966
34,2459782.6232786886,0.9993232498,0.9991976572,0.9995184720
35,2459782.6240319675,1.0061893715,1.0057230119,1.0066074368
36,2459782.6247849604,1.0044955202,1.0039964414,1.0048971497
37,2459782.6255383315,1.0012889860,1.0010235163,1.0015601290
38,2459782.6262915782,1.0042284255,1.0040749444,1.0044337878
39,2459782.6270446549,0.9972887885,0.9969355931,0.9976149823
40,2459782.6277982686,0.9996645685,0.9995029426,0.9998536494
41,2459782.6285510119,1.0060810343,1.0059220061,1.0062885520
42,2459782.6293042083,1.0005252753,1.0000841638,1.0008736711
43,2459782.6300575892,1.0014505616,1.0011273313,1.0017633449
44,2459782.6308108456,1.0026828372,1.0025120070,1.0028773700
45,2459782.6315640048,1.0020778626,1.0020184104,1.0022014117
46,2459782.6323167402,1.0024023114,1.0022980173,1.0025765956
47,2459782.6330703092,1.0007482455,1.0004760401,1.0010236239
48,2459782.6338234944,1.0002149162,1.0001049699,1.0003955516
49,2459782.6345768599,1.0026977529,1.0023231125,1.0030260282
50,2459782.6353294998,0.9946589946,0.9943632275,0.9949037709
51,2459782.6360830753,1.0047302022,1.0046389190,1.0048696251
52,2459782.6368365102,0.9971082864,0.9967091618,0.9974423084
53,2459782.6375896996,0.9961467799,0.9958692885,0.9964003365
54,2459782.6383427386,0.9992929667,0.9991355319,0.9994782067
55,2459782.6390960058,0.9984049877,0.9984514780,0.9984571485
56,2459782.6398489238,1.0033688998,1.0031516408,1.0035835261
57,2459782.6406018622,0.9935448162,0.9933055336,0.9937798645
58,2459782.6413543285,1.0036927395,1.0033686707,1.0039683096
59,2459782.6421075361,0.9984529716,0.9982885167,0.9986445954
60,2459782.6428602245,1.0005093069,1.0006021329,1.0005399135
61,2459782.6436133380,1.0014780545,1.0013857338,1.0016138483
62,2459782.6443660157,0.9951798745,0.9950661820,0.9953455673
63,2459782.6451192242,0.9983643276,0.9980401906,0.9986297388
64,2459782.6458724118,0.9991240800,0.9989420718,0.9993206831
65,2459782.6466247500,1.0010142657,1.0008075821,1.0011995141
66,2459782.6473772163,0.9982082609,0.9980736326,0.9983640734
67,2459782.6481302613,1.0003501349,1.0001739886,1.0005092186
68,2459782.6488823988,1.0003138995,1.0001707287,1.0004921460
69,2459782.6496356763,1.0030950279,1.0028154255,1.0033395892
70,2459782.6503884499,1.0015596303,1.0011219096,1.0018649014
71,2459782.6511416794,1.0024047392,1.0020329416,1.0027194962
72,2459782.6518941256,1.0011421690,1.0008714660,1.0013686737
73,2459782.6526460862,0.9988739151,0.9988931815,0.9989700244
74,2459782.6533985650,1.0011003937,1.0008528671,1.0013066840
