ID,ra,dec,Tmag,e_Tmag,GAIA,GAIAmag,gaiabp,gaiarp,pmRA,pmDEC,plx,Teff,rad,mass,d,numcont,contratio,disposition,duplicate_id,dstArcSec,delta_tmag,flux_ratio_to_target,eclipse_fraction_needed_simple,delta_tmag_tfop,flux_ratio_to_target_tfop,eclipse_fraction_needed_tfop,deduplication_key,x_zero_indexed,y_zero_indexed,catalog_screen
1845606912,297.0446339032,18.7005248527,17.6657000000,0.0131000000,1824561382199064064.0000000000,18.2112000000,18.0625000000,17.0027000000,-3.8743700000,-7.8153900000,-0.0565081000,,,,4795.0400000000,,,,,7.0156341666,6.7285000000,0.0020351668,1.4298582614,6.2285000000,0.0032255219,0.9021795716,gaia_1.824561382199064e+18,1838.8253437985,1725.8008856656,bright enough to mimic 2.91 ppt under a total-throughput eclipse calculation with the TFOP -0.5 mag band correction applied
1845606419,297.0436055107,18.6968835379,17.7327000000,0.0135000000,1824561176040633088.0000000000,18.3175000000,18.5636000000,17.4176000000,-1.8279000000,-5.1480600000,-0.0313517000,,,,4807.4500000000,,,,,7.3229926004,6.7955000000,0.0019133746,1.5208731367,6.2955000000,0.0030324943,0.9596060756,gaia_1.824561176040633e+18,1848.1038932885,1762.1111078839,bright enough to mimic 2.91 ppt under a total-throughput eclipse calculation with the TFOP -0.5 mag band correction applied
390988375,297.0454379346,18.7003365531,16.9521000000,0.0115000000,1824561377897561088.0000000000,17.5306000000,17.8550000000,16.7231000000,,,,,,,,,,,,8.4252241340,6.0149000000,0.0039268110,0.7410593463,5.5149000000,0.0062235760,0.4675768372,gaia_1.824561377897561e+18,1831.2321749995,1727.5895481335,bright enough to mimic 2.91 ppt under a total-throughput eclipse calculation with the TFOP -0.5 mag band correction applied
390988378,297.0401730482,18.7000526521,14.9568000000,0.0174000000,1824561377892708864.0000000000,15.9071000000,16.8282000000,14.9367000000,-1.2959100000,-3.9242300000,0.0209173000,4615.0000000000,14.1749000000,,8186.9200000000,,,,,11.9857095289,4.0196000000,0.0246694803,0.1179595179,3.5196000000,0.0390984913,0.0744274242,gaia_1.8245613778927089e+18,1880.7841647896,1730.9581953133,bright enough to mimic 2.91 ppt under a total-throughput eclipse calculation with the TFOP -0.5 mag band correction applied
1845606884,297.0429372878,18.7030972350,17.5434000000,0.6000000000,1824561382198602240.0000000000,17.9734000000,,,3.8688300000,1.0984200000,1.3241900000,,,,779.9710000000,,,,,15.1712692543,6.6062000000,0.0022778231,1.2775355350,6.1062000000,0.0036101064,0.8060704286,gaia_1.8245613821986022e+18,1855.0910057225,1700.4011587648,bright enough to mimic 2.91 ppt under a total-throughput eclipse calculation with the TFOP -0.5 mag band correction applied
390988357,297.0457460771,18.7026192885,17.3108000000,0.0501000000,1824561377892702720.0000000000,17.9538000000,18.4407000000,17.1987000000,-5.1418600000,-5.7226300000,0.0592884000,5908.0000000000,1.5195300000,1.0700000000,4637.3100000000,,,,,15.4223995346,6.3736000000,0.0028220194,1.0311764570,5.8736000000,0.0044725994,0.6506283590,gaia_1.8245613778927027e+18,1828.5854822135,1704.8616173148,bright enough to mimic 2.91 ppt under a total-throughput eclipse calculation with the TFOP -0.5 mag band correction applied
390988347,297.0424219948,18.7037282922,14.1089000000,0.0103000000,1824561377892708608.0000000000,14.9853000000,15.8276000000,14.0695000000,-2.5577400000,-4.0328000000,0.2726700000,4489.0000000000,7.7038900000,,3303.5100000000,,,,,17.7001883052,3.1717000000,0.0538666541,0.0540222899,2.6717000000,0.0853728933,0.0340857606,gaia_1.8245613778927086e+18,1860.0143788605,1694.1803211173,bright enough to mimic 2.91 ppt under a total-throughput eclipse calculation with the TFOP -0.5 mag band correction applied
1845606870,297.0378693095,18.6985971073,17.4376000000,0.0469000000,1824561377892687104.0000000000,18.0688000000,18.5612000000,17.3423000000,-3.1398000000,-5.8561600000,0.2035290000,5760.0000000000,1.1213600000,1.0300000000,3647.4900000000,,,,,19.1527201473,6.5004000000,0.0025109612,1.1589187491,6.0004000000,0.0039796053,0.7312282964,gaia_1.824561377892687e+18,1902.3186017467,1745.6682559464,bright enough to mimic 2.91 ppt under a total-throughput eclipse calculation with the TFOP -0.5 mag band correction applied
390988410,297.0488369983,18.6966698522,16.6888000000,0.0088411700,1824561176081216512.0000000000,17.7300000000,18.6540000000,16.7010000000,2.4558500000,-8.7419500000,1.2253700000,3813.0000000000,0.5961930000,0.5849720000,811.3970000000,,,,,19.9866091504,5.7516000000,0.0050044920,0.5814775996,5.2516000000,0.0079315853,0.3668875621,gaia_1.8245611760812165e+18,1798.8108454436,1763.6918784030,bright enough to mimic 2.91 ppt under a total-throughput eclipse calculation with the TFOP -0.5 mag band correction applied
390988435,297.0428637891,18.6932151859,16.6913000000,0.0220000000,1824561171761118464.0000000000,17.2810000000,17.6975000000,16.5613000000,-2.4603600000,-4.6623500000,0.3275370000,5902.0000000000,1.1378200000,1.0700000000,2817.4900000000,,,,,20.6216765528,5.7541000000,0.0049929820,0.5828180439,5.2541000000,0.0079133432,0.3677333253,gaia_1.8245611717611185e+18,1854.6803029106,1798.6603183770,bright enough to mimic 2.91 ppt under a total-throughput eclipse calculation with the TFOP -0.5 mag band correction applied
