slice,bjd_tdb,orbital_phase,historical_schedule_window_fraction,used_in_primary_ground_curve,tic_390988375_relative_brightness,tic_390988378_relative_brightness,tic_390988347_relative_brightness,tic_390988410_relative_brightness,tic_390988435_relative_brightness,tic_390988436_relative_brightness,tic_390988374_relative_brightness,tic_390988358_relative_brightness,tic_390988400_relative_brightness,tic_1845606942_relative_brightness,tic_390988325_relative_brightness,tic_390988426_relative_brightness,tic_390988448_relative_brightness,tic_390988407_relative_brightness,tic_390988312_relative_brightness,tic_390988462_relative_brightness,tic_390988315_relative_brightness,tic_390988392_relative_brightness,tic_390988472_relative_brightness,tic_390988304_relative_brightness,tic_390988341_relative_brightness,tic_390988440_relative_brightness,tic_390988463_relative_brightness,tic_390988452_relative_brightness,tic_390988307_relative_brightness,tic_390988399_relative_brightness,tic_390988366_relative_brightness,tic_390988316_relative_brightness,tic_390988286_relative_brightness,tic_390988425_relative_brightness,tic_390988421_relative_brightness,tic_390988342_relative_brightness,tic_390988456_relative_brightness,tic_390988350_relative_brightness,tic_390988287_relative_brightness,tic_1845610104_relative_brightness,tic_1845609659_relative_brightness,tic_390988444_relative_brightness,tic_390988453_relative_brightness,tic_390988278_relative_brightness,tic_390988513_relative_brightness,tic_1845606364_relative_brightness,tic_1845606859_relative_brightness,tic_1845607076_relative_brightness
1,2459782.5982348109,0.2485192252,0.0000000000,False,1.5941013280,0.6726296269,0.7841696286,7.0802427946,1.5007149963,0.5977945666,,0.8185567869,,0.0454390073,0.7302452159,,0.4736407266,,0.4032970693,1.1693610034,,1.3296705222,0.7372463859,0.2092715454,0.4670892221,1.3091671890,0.7896822503,0.6254827405,,0.9671444445,,0.9871918922,0.8433911951,0.1495925628,,1.2983841603,4.1552272328,1.3560106873,1.2010678869,0.7889756004,0.8841867604,0.8088904215,0.7600159108,0.9244850038,,2.0155312629,0.8840254868,0.8830615288
2,2459782.5990058281,0.2487837110,0.0000000000,False,2.3931484477,0.3172615257,0.8147379123,,0.1265300076,0.7750863940,,0.7315529013,,,0.3661098463,0.3662761318,2.3377432823,,0.7411328281,1.7247188100,,1.1175378667,0.4900994176,0.3681673966,0.4503143614,1.8061277964,0.5986880336,0.4621369200,,0.6577496876,,0.5758407632,0.7619756406,,,1.2839299340,0.5642766381,1.1197400255,0.8941817751,0.6399254158,0.8389521150,0.7214836080,0.6263636681,1.1699556856,,1.7691367714,0.9333130473,0.8404907194
3,2459782.5997669622,0.2490448065,0.0000000000,True,1.2864634120,0.6906601546,0.8634383355,0.5752369710,1.1166066844,0.9376056295,0.1751095868,1.0789682570,,,0.6757502023,,0.4962376377,,0.2305166631,,,0.3840864724,,0.2321298742,0.4812760164,1.6591609734,0.1272395021,1.1821585881,,0.9755374645,,0.5556364386,0.9287379136,0.1347850742,,1.1202310690,,1.1294445874,0.8209595441,0.9496491393,0.9303483565,0.8553088672,0.8106242875,0.6462795055,0.4531548247,,0.9412033225,0.9294280217
4,2459782.6005278192,0.2493058070,0.0000000000,True,1.0048337329,0.3632719914,0.8816336843,,0.5865404005,0.7608267048,0.0136877970,1.0206321598,,,0.9701607827,0.7885821085,1.7979686495,,0.7960197018,0.7304324455,1.6995463702,1.5524018634,0.9106923630,0.6384350667,0.4567854877,1.1065988981,0.5668562503,0.7510974198,,0.8914463771,,0.3474699355,0.9217697492,0.2550340798,,1.1087892319,0.8799627393,1.1605610024,1.4540297627,0.7435863488,0.9433237677,0.9661428872,0.9795286799,1.0697508316,,,0.9215566871,1.1359450239
5,2459782.6012884346,0.2495667246,0.0000000000,True,1.0155650445,0.1295233112,0.8557457916,,1.1124089170,0.6919793688,0.1096576840,1.0950593373,,0.0580013914,0.7070284594,1.7964892193,1.1028959604,,0.7382074663,0.7493595416,0.5201399174,0.5092324666,0.5644833609,0.5543662417,0.8149399841,1.7932654999,1.1250231384,0.7800028756,,0.7960977056,,1.0772861546,0.9228624217,0.1381095229,,1.1246506301,1.8197408739,1.1832168344,0.6926098283,0.7002309302,0.7823720345,0.9300296717,0.9708259028,0.9746262299,,0.6134901812,0.8959443050,1.1327616391
6,2459782.6020486979,0.2498275214,0.0000000000,True,1.4811817000,0.8822071587,0.7800740075,0.4502439560,1.0332445564,0.5990219898,0.3145429191,0.9684357920,,,0.5545751129,0.7887085167,1.1550245704,,0.7725533632,0.7388219728,,1.1075961070,,0.6356936017,0.7909313560,1.6828529098,1.6431705161,1.1337295916,,0.7093624957,,1.6281714003,0.8625810862,0.2641940781,,1.1427461963,,1.0538796507,1.7740951559,0.6270126447,0.7869631063,0.8242481565,0.7817545374,1.0251712803,,,0.9816969805,1.0329917046
7,2459782.6028088159,0.2500882684,0.0000000000,True,0.9388004263,1.0847297813,1.0000000000,,0.6093925217,0.9973685380,0.2739725078,1.0413636925,,2.6566610592,0.9163871257,0.5358011106,1.6218671739,,0.8500446506,1.7630458622,1.3478225247,1.2706615458,0.3252908148,0.7945528760,0.8165126337,1.8515494759,1.4298786604,1.0862437106,,1.0024880928,,1.0812875973,0.9824648507,0.4377616111,,1.0670418780,1.1135814017,1.1079465056,1.2487294016,0.9487478307,0.9644520452,1.0067516296,1.0358831536,1.1225579200,,1.3778814373,0.9182527711,1.0387735944
8,2459782.6035703677,0.2503495072,0.0000000000,True,0.9015466823,0.9780131423,0.9252835306,0.0529368673,0.8562330325,0.7349107086,0.8799954277,1.0326524715,,1.5618174590,0.8830041689,0.4110655067,0.5716068008,,1.0858252105,0.4900135816,1.4180070727,0.8735548009,0.8587469670,1.0274856361,0.8655802500,0.0349334920,1.0000000000,1.1146886306,,0.9297499938,,0.7830169484,0.9709537372,0.7656354775,,1.0694001328,,1.1350278074,1.3557601601,0.9283413617,0.9567160125,0.9815407671,1.0120580664,1.0387792003,,0.0405180936,0.9356180763,1.0239425317
9,2459782.6043305541,0.2506102776,0.0000000000,True,1.0331163217,0.7056672033,0.8453345273,,1.0446351621,0.7181107327,1.1714496638,0.8116365106,,,0.8216010881,0.8895550063,0.7082082183,,0.6905020712,0.4544972133,,0.7053466805,1.3069326009,0.9045396948,0.9139488187,0.0892162878,1.7498789059,0.9592587564,,0.9491802806,,0.9376597988,0.9233624821,0.2659959192,,1.2272040818,1.2647701251,1.1799959296,1.0898353255,0.7930448859,0.8738641685,0.9263016778,0.9114575042,1.2350051677,,0.2405276102,0.9061538449,1.0399299784
10,2459782.6050918396,0.2508714251,0.0000000000,True,1.7480078869,0.6186739454,0.7136793444,0.8072682298,1.4346674710,0.6987563524,0.2805176994,0.8042468845,0.4356382227,,0.5729073570,1.0429885080,1.3010967108,,0.6717447963,1.1281463516,,0.9007109275,0.8379337785,0.5268876579,0.7768250499,1.7088386759,1.4459908788,0.4952415755,,0.7119120942,,0.6847014927,0.8061346188,0.3829171019,,1.2560086193,1.6997114791,1.1067054574,1.3482352972,0.5256809300,0.7295113959,0.7669057560,0.6455398750,0.9750187316,,,0.9032875723,1.0093644268
11,2459782.6058534561,0.2511326861,0.0000000000,False,2.2283621745,1.0409259088,0.5703333479,3.7511100289,1.2367727515,0.6108230270,0.0108796190,0.2942296670,,,0.6517698895,0.4042673507,2.1361870370,,0.6756137273,0.9802464058,,0.8153400737,0.0222835542,0.4763847542,0.6549424523,,1.9866387931,0.8917335538,,0.5964179895,,0.5830087533,0.7125135121,,,1.4187624025,2.5518400051,1.0602301500,0.1125367626,0.6238682147,0.6071243877,0.6669500318,0.6196485866,0.6635235015,0.0772628373,,0.6848874916,0.7589232204
12,2459782.6066149953,0.2513939206,0.0000000000,True,0.6547750667,11.0047861144,0.8043680952,,0.1870726337,0.8215629281,0.1187400052,0.3158314211,,,0.5764134106,0.5905604435,2.7465585782,,0.6468941712,1.4506010302,,0.4434534165,0.3833364091,0.6364999688,0.8368261923,1.5215636155,0.8536812261,0.7680427228,,0.7451653139,,0.9331766587,0.7735070249,,0.4180251048,0.9743462833,2.1796459260,0.9258841627,,1.1177948385,0.7243574484,0.7440958139,0.6957766415,0.5962706635,,,0.4621071461,0.7033853526
