image,slice,bjd_tdb,hours_since_first_image,relative_brightness_all_comparisons,relative_brightness_working_set,relative_brightness_error,sky_counts_per_pixel,star_width_pixels,airmass,working_comparison_counts,target_x_fits,target_y_fits,review_point,review_reason
TOI_3505.01_50.000s_R-0001_aligned.fits,1,2459782.5982348109,0.0000000000,1.0109728846,1.0092972998,0.0039343489,849.2020765692,29.3313689371,1.3202923983,3590228.2412937828,1847.6644064646,1743.9836777571,True,large star width
TOI_3505.01_50.000s_R-0002_aligned.fits,2,2459782.5990058281,0.0185044147,1.0056671560,1.0043637364,0.0042847136,882.3080754352,27.9076132129,1.3162138108,3333402.5241489667,1843.7566311159,1742.0247476185,True,large star width
TOI_3505.01_50.000s_R-0003_aligned.fits,3,2459782.5997669622,0.0367716327,1.0059120464,1.0055131432,0.0039542826,847.5508601519,25.1809130258,1.3122343787,3563898.4362796117,1849.3480784199,1743.4056977293,False,
TOI_3505.01_50.000s_R-0004_aligned.fits,4,2459782.6005278192,0.0550322011,0.9957035536,0.9932877951,0.0040115947,844.3182816536,23.4542921898,1.3083024089,3493381.0397183923,1847.3906060720,1745.2984700912,False,
TOI_3505.01_50.000s_R-0005_aligned.fits,5,2459782.6012884346,0.0732869692,1.0016959232,0.9965655231,0.0031391715,743.2786157289,23.0835246188,1.3044171489,4295332.0316216545,1846.5267938372,1745.3603986411,False,
TOI_3505.01_50.000s_R-0006_aligned.fits,6,2459782.6020486979,0.0915332884,1.0023719415,0.9991296410,0.0028159942,692.0181261262,24.0479834351,1.3005786035,4695415.0025372645,1844.2605656447,1744.2140628914,False,
TOI_3505.01_50.000s_R-0007_aligned.fits,7,2459782.6028088159,0.1097761206,1.0018716037,1.0002934206,0.0027984217,680.0957726091,22.5214516193,1.2967851812,4691721.4953329135,1848.9339031415,1744.0589542351,False,
TOI_3505.01_50.000s_R-0008_aligned.fits,8,2459782.6035703677,0.1280533634,0.9990810206,0.9975048776,0.0025629303,640.3742670184,23.3188960709,1.2930286207,5038889.7965883315,1849.2740562966,1744.4570267708,False,
TOI_3505.01_50.000s_R-0009_aligned.fits,9,2459782.6043305541,0.1462978385,0.9975686507,0.9948392718,0.0024996450,625.5925754172,23.8407373707,1.2893222509,5128649.6848409977,1847.4090767985,1744.4913157655,False,
TOI_3505.01_50.000s_R-0010_aligned.fits,10,2459782.6050918396,0.1645686887,0.9945581836,0.9927879934,0.0024592638,616.7824016167,23.9795816283,1.2856535573,5188705.3395372182,1842.4860947375,1744.3408965243,False,
TOI_3505.01_50.000s_R-0011_aligned.fits,11,2459782.6058534561,0.1828474849,1.0034644638,1.0029358260,0.0023824899,594.2819687079,28.6267812744,1.2820258906,5310047.1567933690,1843.3787000626,1743.7022181111,True,large star width
TOI_3505.01_50.000s_R-0012_aligned.fits,12,2459782.6066149953,0.2011244260,0.9970062428,0.9969218794,0.0024044936,588.1646934057,26.5660721593,1.2784407605,5223040.0169942044,1858.1944496330,1742.9390585350,True,large star width
TOI_3505.01_50.000s_R-0013_aligned.fits,13,2459782.6073769690,0.2194117941,0.9941297591,0.9929986210,0.0024539750,605.4549363133,25.8644199708,1.2748953315,5160269.3072311888,1847.1479206068,1742.9467122306,False,
TOI_3505.01_50.000s_R-0014_aligned.fits,14,2459782.6081384555,0.2376874723,0.9935738623,0.9909759712,0.0026188658,631.1229855582,23.6960124388,1.2713934416,4880963.9273762871,1848.1059911862,1742.3766337424,False,
TOI_3505.01_50.000s_R-0015_aligned.fits,15,2459782.6088986364,0.2559318133,1.0065698954,1.0045749533,0.0026366690,630.8316727213,25.4764592420,1.2679382739,4861291.1581556154,1844.6407822088,1743.8762144914,False,
TOI_3505.01_50.000s_R-0016_aligned.fits,16,2459782.6096590585,0.2741819434,0.9968519324,0.9966569900,0.0024998721,610.0566680959,24.0121724717,1.2645222813,5074472.8587318519,1849.0653492263,1744.7055420564,False,
TOI_3505.01_50.000s_R-0017_aligned.fits,17,2459782.6104211700,0.2924726196,1.0039365195,1.0026688224,0.0024414627,598.7993003114,23.8801722637,1.2611386933,5180723.5861351565,1848.6094662473,1743.0353256110,False,
TOI_3505.01_50.000s_R-0018_aligned.fits,18,2459782.6111833444,0.3107648045,0.9995756632,0.9982631358,0.0026451604,633.2058995626,22.9400213964,1.2577944513,4842531.5088659134,1846.5513959400,1745.2844803787,False,
TOI_3505.01_50.000s_R-0019_aligned.fits,19,2459782.6119430601,0.3289979808,0.9979863035,0.9952450579,0.0026367909,630.0693655827,22.4673088896,1.2545000259,4846361.2816861849,1849.4896429455,1743.2792311712,False,
TOI_3505.01_50.000s_R-0020_aligned.fits,20,2459782.6127035306,0.3472492732,0.9994110417,0.9955228983,0.0025050832,606.2202433665,22.6643877127,1.2512409491,5047911.0560825458,1849.5190681912,1744.7842177669,False,
TOI_3505.01_50.000s_R-0021_aligned.fits,21,2459782.6134658013,0.3655437715,1.0035959792,1.0016028674,0.0023852111,582.3684566623,23.1438824021,1.2480125451,5255670.6369118653,1848.6756560792,1742.5396251708,False,
TOI_3505.01_50.000s_R-0022_aligned.fits,22,2459782.6142264036,0.3837982267,1.0034226828,1.0008411969,0.0023303023,569.8445837969,22.9199176592,1.2448291261,5347310.3312072884,1850.1538866110,1743.7206805082,False,
