star,working_set,robust_scatter_percent,clipped_standard_deviation_percent,median_relative_snr,median_source_counts,target_scatter_without_star_percent,target_scatter_change_percent_points,airmass_correlation,star_width_correlation,x_position_correlation,y_position_correlation,largest_condition_correlation
C2,True,0.55412114,0.62269064,493.21445923,905756.07847953,0.33283107,0.00764225,0.28318826,0.20344342,-0.11631491,0.13420064,0.28318826
C3,True,0.36286106,0.47015275,573.55922881,1096081.35866937,0.34694835,0.02175953,-0.10551483,-0.02869484,0.06584014,-0.04587714,0.10551483
C4,False,0.44173559,0.56742526,463.37661862,822293.48524846,0.31345988,-0.01172893,-0.10350383,-0.10481702,0.00193072,-0.00173242,0.10481702
C5,True,0.53874575,0.56412324,501.55055494,918077.57082871,0.33922792,0.01403910,0.26694698,0.26141470,-0.00992088,0.14845861,0.26694698
C6,True,0.43471903,0.52049444,400.83382274,687329.13944081,0.33297798,0.00778916,0.00160202,-0.14314746,-0.05947338,-0.02768592,0.14314746
C7,True,0.53516978,0.77040383,465.74108534,829339.67539674,0.33296868,0.00777986,-0.11586804,-0.05671548,0.04737301,-0.02195493,0.11586804
C8,False,0.62774144,0.71845971,584.68690899,1130332.39201873,0.31237926,-0.01280956,-0.02538800,0.00302953,0.09302707,-0.09422386,0.09422386
C9,False,0.66508926,0.67665571,384.22029418,652956.07032489,0.33287742,0.00768860,-0.03782885,-0.02432210,-0.23026789,0.01387444,0.23026789
C10,True,0.33026284,0.41638357,410.48832637,703051.57987585,0.32872573,0.00353691,0.07693742,0.04210604,0.09918128,-0.11720629,0.11720629
C11,True,0.41608538,0.50548343,385.52881070,655211.36076649,0.33766199,0.01247317,-0.13622195,-0.15183001,-0.01076061,0.02618780,0.15183001
