frame,date_obs,bjd_tdb,airmass,ccd_temp_c,exposure_s,filter,object,archive,member
1,2022-07-22T02:13:25.04,2459782.598234811,1.3202923982859234,-20.375,50.0,Red,TOI_3505.01,TOI_3505.01-20260714T190730Z-1-001.zip,TOI_3505.01/TOI_3505.01_50.000s_R-0001.fits
2,2022-07-22T02:14:30.74,2459782.599005828,1.3162138108445802,-20.375,50.0,Red,TOI_3505.01,TOI_3505.01-20260714T190730Z-1-002.zip,TOI_3505.01/TOI_3505.01_50.000s_R-0002.fits
3,2022-07-22T02:15:36.48,2459782.599766962,1.312234378705693,-20.34375,50.0,Red,TOI_3505.01,TOI_3505.01-20260714T190730Z-1-006.zip,TOI_3505.01/TOI_3505.01_50.000s_R-0003.fits
4,2022-07-22T02:16:42.23,2459782.6005278192,1.3083024089164847,-20.375,50.0,Red,TOI_3505.01,TOI_3505.01-20260714T190730Z-1-005.zip,TOI_3505.01/TOI_3505.01_50.000s_R-0004.fits
5,2022-07-22T02:17:47.98,2459782.6012884346,1.304417148919055,-20.375,50.0,Red,TOI_3505.01,TOI_3505.01-20260714T190730Z-1-005.zip,TOI_3505.01/TOI_3505.01_50.000s_R-0005.fits
6,2022-07-22T02:18:53.61,2459782.602048698,1.3005786035097426,-20.375,50.0,Red,TOI_3505.01,TOI_3505.01-20260714T190730Z-1-005.zip,TOI_3505.01/TOI_3505.01_50.000s_R-0006.fits
7,2022-07-22T02:19:59.29,2459782.602808816,1.296785181174721,-20.34375,50.0,Red,TOI_3505.01,TOI_3505.01-20260714T190730Z-1-005.zip,TOI_3505.01/TOI_3505.01_50.000s_R-0007.fits
8,2022-07-22T02:21:05.11,2459782.6035703677,1.2930286206576433,-20.40625,50.0,Red,TOI_3505.01,TOI_3505.01-20260714T190730Z-1-006.zip,TOI_3505.01/TOI_3505.01_50.000s_R-0008.fits
9,2022-07-22T02:22:10.79,2459782.604330554,1.2893222508587423,-20.375,50.0,Red,TOI_3505.01,TOI_3505.01-20260714T190730Z-1-005.zip,TOI_3505.01/TOI_3505.01_50.000s_R-0009.fits
10,2022-07-22T02:23:16.54,2459782.6050918396,1.285653557341722,-20.40625,50.0,Red,TOI_3505.01,TOI_3505.01-20260714T190730Z-1-005.zip,TOI_3505.01/TOI_3505.01_50.000s_R-0010.fits
11,2022-07-22T02:24:22.36,2459782.605853456,1.2820258906349997,-20.375,50.0,Red,TOI_3505.01,TOI_3505.01-20260714T190730Z-1-005.zip,TOI_3505.01/TOI_3505.01_50.000s_R-0011.fits
12,2022-07-22T02:25:28.17,2459782.6066149953,1.2784407605076586,-20.375,50.0,Red,TOI_3505.01,TOI_3505.01-20260714T190730Z-1-005.zip,TOI_3505.01/TOI_3505.01_50.000s_R-0012.fits
13,2022-07-22T02:26:33.98,2459782.607376969,1.2748953314522309,-20.375,50.0,Red,TOI_3505.01,TOI_3505.01-20260714T190730Z-1-005.zip,TOI_3505.01/TOI_3505.01_50.000s_R-0013.fits
14,2022-07-22T02:27:39.79,2459782.6081384555,1.271393441646801,-20.375,50.0,Red,TOI_3505.01,TOI_3505.01-20260714T190730Z-1-002.zip,TOI_3505.01/TOI_3505.01_50.000s_R-0014.fits
15,2022-07-22T02:28:45.49,2459782.6088986364,1.2679382739271947,-20.40625,50.0,Red,TOI_3505.01,TOI_3505.01-20260714T190730Z-1-005.zip,TOI_3505.01/TOI_3505.01_50.000s_R-0015.fits
16,2022-07-22T02:29:51.17,2459782.6096590585,1.26452228131667,-20.40625,50.0,Red,TOI_3505.01,TOI_3505.01-20260714T190730Z-1-005.zip,TOI_3505.01/TOI_3505.01_50.000s_R-0016.fits
17,2022-07-22T02:30:57.04,2459782.61042117,1.2611386933040316,-20.375,50.0,Red,TOI_3505.01,TOI_3505.01-20260714T190730Z-1-005.zip,TOI_3505.01/TOI_3505.01_50.000s_R-0017.fits
18,2022-07-22T02:32:02.86,2459782.6111833444,1.2577944513062256,-20.40625,50.0,Red,TOI_3505.01,TOI_3505.01-20260714T190730Z-1-005.zip,TOI_3505.01/TOI_3505.01_50.000s_R-0018.fits
19,2022-07-22T02:33:08.48,2459782.61194306,1.2545000258985002,-20.375,50.0,Red,TOI_3505.01,TOI_3505.01-20260714T190730Z-1-005.zip,TOI_3505.01/TOI_3505.01_50.000s_R-0019.fits
20,2022-07-22T02:34:14.23,2459782.6127035306,1.2512409490952578,-20.40625,50.0,Red,TOI_3505.01,TOI_3505.01-20260714T190730Z-1-005.zip,TOI_3505.01/TOI_3505.01_50.000s_R-0020.fits
21,2022-07-22T02:35:20.05,2459782.6134658013,1.248012545144893,-20.375,50.0,Red,TOI_3505.01,TOI_3505.01-20260714T190730Z-1-005.zip,TOI_3505.01/TOI_3505.01_50.000s_R-0021.fits
22,2022-07-22T02:36:25.80,2459782.6142264036,1.2448291261149642,-20.375,50.0,Red,TOI_3505.01,TOI_3505.01-20260714T190730Z-1-004.zip,TOI_3505.01/TOI_3505.01_50.000s_R-0022.fits
23,2022-07-22T02:37:31.30,2459782.6149847135,1.2416926280713976,-20.375,50.0,Red,TOI_3505.01,TOI_3505.01-20260714T190730Z-1-005.zip,TOI_3505.01/TOI_3505.01_50.000s_R-0023.fits
24,2022-07-22T02:38:36.48,2459782.6157393013,1.238608157951202,-20.375,50.0,Red,TOI_3505.01,TOI_3505.01-20260714T190730Z-1-005.zip,TOI_3505.01/TOI_3505.01_50.000s_R-0024.fits
25,2022-07-22T02:39:41.74,2459782.61649445,1.2355576181833583,-20.40625,50.0,Red,TOI_3505.01,TOI_3505.01-20260714T190730Z-1-005.zip,TOI_3505.01/TOI_3505.01_50.000s_R-0025.fits
26,2022-07-22T02:40:46.92,2459782.6172491317,1.2325448110444175,-20.40625,50.0,Red,TOI_3505.01,TOI_3505.01-20260714T190730Z-1-005.zip,TOI_3505.01/TOI_3505.01_50.000s_R-0026.fits
27,2022-07-22T02:41:52.05,2459782.618002731,1.2295717437818312,-20.40625,50.0,Red,TOI_3505.01,TOI_3505.01-20260714T190730Z-1-005.zip,TOI_3505.01/TOI_3505.01_50.000s_R-0027.fits
28,2022-07-22T02:42:57.17,2459782.61875646,1.2266332223465577,-20.375,50.0,Red,TOI_3505.01,TOI_3505.01-20260714T190730Z-1-005.zip,TOI_3505.01/TOI_3505.01_50.000s_R-0028.fits
29,2022-07-22T02:44:02.29,2459782.619509961,1.2237303061651852,-20.375,50.0,Red,TOI_3505.01,TOI_3505.01-20260714T190730Z-1-005.zip,TOI_3505.01/TOI_3505.01_50.000s_R-0029.fits
30,2022-07-22T02:45:07.42,2459782.6202637255,1.2208607734396097,-20.34375,50.0,Red,TOI_3505.01,TOI_3505.01-20260714T190730Z-1-005.zip,TOI_3505.01/TOI_3505.01_50.000s_R-0030.fits
