kind,sequence,archive,member,mean,median,mad,p01,p99,min,max,finite_fraction,normalization_level_adu,plane_intercept_adu,plane_x_coefficient_adu,plane_y_coefficient_adu,plane_peak_to_peak_fraction,fit_pixel_count,fit_residual_mad_adu,normalized_mean,normalized_median,normalized_mad,normalized_p01,normalized_p99,normalized_min,normalized_max,normalized_finite_fraction
dark_3.5s,1,TOI_3505.01-20260714T190730Z-1-005.zip,TOI_3505.01/Darks_TOI_3505.01/Dark_3.500s-0001.fits,1029.408977508545,1029.0,11.8608,1005.0,1059.0,984.0,2399.0,1.0,,,,,,,,,,,,,,,
dark_3.5s,2,TOI_3505.01-20260714T190730Z-1-005.zip,TOI_3505.01/Darks_TOI_3505.01/Dark_3.500s-0002.fits,1028.7547760009766,1028.0,11.8608,1004.0,1058.0,983.0,2375.0,1.0,,,,,,,,,,,,,,,
dark_3.5s,3,TOI_3505.01-20260714T190730Z-1-004.zip,TOI_3505.01/Darks_TOI_3505.01/Dark_3.500s-0003.fits,1028.2498970031738,1028.0,10.3782,1004.0,1057.0,984.0,2352.0,1.0,,,,,,,,,,,,,,,
dark_3.5s,4,TOI_3505.01-20260714T190730Z-1-004.zip,TOI_3505.01/Darks_TOI_3505.01/Dark_3.500s-0004.fits,1027.8811950683594,1027.0,10.3782,1004.0,1057.0,977.0,2323.0,1.0,,,,,,,,,,,,,,,
dark_3.5s,5,TOI_3505.01-20260714T190730Z-1-005.zip,TOI_3505.01/Darks_TOI_3505.01/Dark_3.500s-0005.fits,1027.4821891784668,1027.0,10.3782,1003.0,1056.0,977.0,2396.0,1.0,,,,,,,,,,,,,,,
dark_3.5s,6,TOI_3505.01-20260714T190730Z-1-005.zip,TOI_3505.01/Darks_TOI_3505.01/Dark_3.500s-0006.fits,1027.1369132995605,1027.0,10.3782,1003.0,1056.0,977.0,2336.0,1.0,,,,,,,,,,,,,,,
dark_3.5s,7,TOI_3505.01-20260714T190730Z-1-005.zip,TOI_3505.01/Darks_TOI_3505.01/Dark_3.500s-0007.fits,1026.7194061279297,1026.0,10.3782,1003.0,1055.0,982.0,2376.0,1.0,,,,,,,,,,,,,,,
dark_3.5s,8,TOI_3505.01-20260714T190730Z-1-005.zip,TOI_3505.01/Darks_TOI_3505.01/Dark_3.500s-0008.fits,1026.5170097351074,1026.0,10.3782,1003.0,1055.0,979.0,2379.0,1.0,,,,,,,,,,,,,,,
dark_3.5s,9,TOI_3505.01-20260714T190730Z-1-005.zip,TOI_3505.01/Darks_TOI_3505.01/Dark_3.500s-0009.fits,1026.2963218688965,1026.0,10.3782,1003.0,1055.0,978.0,2385.0,1.0,,,,,,,,,,,,,,,
dark_3.5s,10,TOI_3505.01-20260714T190730Z-1-005.zip,TOI_3505.01/Darks_TOI_3505.01/Dark_3.500s-0010.fits,1026.1239891052246,1026.0,10.3782,1003.0,1054.0,977.0,2391.0,1.0,,,,,,,,,,,,,,,
dark_50s,1,TOI_3505.01-20260714T190730Z-1-005.zip,TOI_3505.01/Darks_TOI_3505.01/Dark_50.000s-0001.fits,1040.189525604248,1039.0,11.8608,1015.0,1071.0,994.0,13000.0,1.0,,,,,,,,,,,,,,,
dark_50s,2,TOI_3505.01-20260714T190730Z-1-005.zip,TOI_3505.01/Darks_TOI_3505.01/Dark_50.000s-0002.fits,1036.3279457092285,1036.0,11.8608,1011.0,1067.0,985.0,13269.0,1.0,,,,,,,,,,,,,,,
dark_50s,3,TOI_3505.01-20260714T190730Z-1-005.zip,TOI_3505.01/Darks_TOI_3505.01/Dark_50.000s-0003.fits,1033.438377380371,1033.0,10.3782,1009.0,1063.0,986.0,13166.0,1.0,,,,,,,,,,,,,,,
dark_50s,4,TOI_3505.01-20260714T190730Z-1-004.zip,TOI_3505.01/Darks_TOI_3505.01/Dark_50.000s-0004.fits,1031.0015983581543,1030.0,10.3782,1007.0,1061.0,982.0,13156.0,1.0,,,,,,,,,,,,,,,
dark_50s,5,TOI_3505.01-20260714T190730Z-1-005.zip,TOI_3505.01/Darks_TOI_3505.01/Dark_50.000s-0005.fits,1029.2811317443848,1029.0,10.3782,1005.0,1059.0,980.0,13265.0,1.0,,,,,,,,,,,,,,,
dark_50s,6,TOI_3505.01-20260714T190730Z-1-005.zip,TOI_3505.01/Darks_TOI_3505.01/Dark_50.000s-0006.fits,1028.1106262207031,1027.0,10.3782,1004.0,1057.0,983.0,13146.0,1.0,,,,,,,,,,,,,,,
dark_50s,7,TOI_3505.01-20260714T190730Z-1-004.zip,TOI_3505.01/Darks_TOI_3505.01/Dark_50.000s-0007.fits,1027.1287956237793,1026.0,10.3782,1003.0,1056.0,976.0,13196.0,1.0,,,,,,,,,,,,,,,
dark_50s,8,TOI_3505.01-20260714T190730Z-1-005.zip,TOI_3505.01/Darks_TOI_3505.01/Dark_50.000s-0008.fits,1026.3693389892578,1026.0,10.3782,1003.0,1055.0,979.0,12981.0,1.0,,,,,,,,,,,,,,,
dark_50s,9,TOI_3505.01-20260714T190730Z-1-005.zip,TOI_3505.01/Darks_TOI_3505.01/Dark_50.000s-0009.fits,1025.6900939941406,1025.0,10.3782,1002.0,1055.0,978.0,13089.0,1.0,,,,,,,,,,,,,,,
