sequence,source_archive,source_member,source_crc32,output_file,output_relative_path,output_size_bytes,status,date_obs,bjd_tdb,airmass,ccd_temp_c,exposure_s,filter,object,has_wcs,raw_saturation_fraction_sampled,calibrated_negative_fraction_sampled,elapsed_seconds,raw_mean,raw_median,raw_mad,raw_p01,raw_p99,raw_min,raw_max,raw_finite_fraction,calibrated_mean,calibrated_median,calibrated_mad,calibrated_p01,calibrated_p99,calibrated_min,calibrated_max,calibrated_finite_fraction,z_calibrated_median,z_calibrated_mad,z_calibrated_p99,z_calibrated_negative_fraction_sampled,qa_flag,qa_reasons
1,TOI_3505.01-20260714T190730Z-1-001.zip,TOI_3505.01/TOI_3505.01_50.000s_R-0001.fits,dee3d4f8,TOI_3505.01_50.000s_R-0001_out.fits,data/ground/toi3505/reduced/TOI_3505.01_50.000s_R-0001_out.fits,67115520,resumed-existing,2022-07-22T02:13:25.04,2459782.598234811,1.3202923982859234,-20.375,50.0,Red,TOI_3505.01,False,0.0,3.814697265625e-06,0.2776189579999482,1904.3329315185547,1890.0,50.4084,1765.0,2079.0,1075.0,49370.0,1.0,875.5840237808334,854.8658142089844,41.123373175048826,767.1477331542969,1069.717897949219,-15.8484468460083,52510.01953125,1.0,5.328591388684956,2.723073137033485,4.167795695792935,-0.5620756328971627,False,
2,TOI_3505.01-20260714T190730Z-1-002.zip,TOI_3505.01/TOI_3505.01_50.000s_R-0002.fits,61b81d09,TOI_3505.01_50.000s_R-0002_out.fits,data/ground/toi3505/reduced/TOI_3505.01_50.000s_R-0002_out.fits,67115520,resumed-existing,2022-07-22T02:14:30.74,2459782.599005828,1.3162138108445802,-20.375,50.0,Red,TOI_3505.01,False,,3.814697265625e-06,0.12530579200029024,,,,,,,,,908.4595122226674,888.6559143066406,41.060798840332026,802.3929968261718,1092.5140612792973,-16.870927810668945,52652.265625,1.0,5.796644568882268,2.7056572558435223,4.48647623513691,-0.5620756328971627,False,
3,TOI_3505.01-20260714T190730Z-1-006.zip,TOI_3505.01/TOI_3505.01_50.000s_R-0003.fits,e5cdaa6c,TOI_3505.01_50.000s_R-0003_out.fits,data/ground/toi3505/reduced/TOI_3505.01_50.000s_R-0003_out.fits,67115520,resumed-existing,2022-07-22T02:15:36.48,2459782.599766962,1.312234378705693,-20.34375,50.0,Red,TOI_3505.01,False,,3.814697265625e-06,0.14155987500271294,,,,,,,,,872.4328221297765,853.2952880859375,40.72602841186523,766.3450866699219,1065.874754638672,-31.185653686523438,52325.3515625,1.0,5.306836799490174,2.61248292111863,4.11407020851476,-0.5620756328971627,False,
4,TOI_3505.01-20260714T190730Z-1-005.zip,TOI_3505.01/TOI_3505.01_50.000s_R-0004.fits,46a78e97,TOI_3505.01_50.000s_R-0004_out.fits,data/ground/toi3505/reduced/TOI_3505.01_50.000s_R-0004_out.fits,67115520,resumed-existing,2022-07-22T02:16:42.23,2459782.6005278192,1.3083024089164847,-20.375,50.0,Red,TOI_3505.01,False,,3.814697265625e-06,0.16161683300015284,,,,,,,,,867.4094411710976,848.8425903320312,38.38684323120117,765.9076696777344,1053.4727648925789,-38.343017578125,52614.13671875,1.0,5.245158990364128,1.9614337110528186,3.9406957365040007,-0.5620756328971627,False,
5,TOI_3505.01-20260714T190730Z-1-005.zip,TOI_3505.01/TOI_3505.01_50.000s_R-0005.fits,2c9db27d,TOI_3505.01_50.000s_R-0005_out.fits,data/ground/toi3505/reduced/TOI_3505.01_50.000s_R-0005_out.fits,67115520,resumed-existing,2022-07-22T02:17:47.98,2459782.6012884346,1.304417148919055,-20.375,50.0,Red,TOI_3505.01,False,,7.62939453125e-06,0.16562466699906508,,,,,,,,,770.0875402381789,748.4819641113281,36.53517681884765,671.8786291503907,989.8589428710958,-121.16393280029297,52589.12109375,1.0,3.854985237299334,1.446072223200916,3.051401919031243,-0.44966050631773014,False,
6,TOI_3505.01-20260714T190730Z-1-005.zip,TOI_3505.01/TOI_3505.01_50.000s_R-0006.fits,9e2545a1,TOI_3505.01_50.000s_R-0006_out.fits,data/ground/toi3505/reduced/TOI_3505.01_50.000s_R-0006_out.fits,67115520,resumed-existing,2022-07-22T02:18:53.61,2459782.602048698,1.3005786035097426,-20.375,50.0,Red,TOI_3505.01,False,,1.1444091796875e-05,0.13778937499955646,,,,,,,,,721.0557234019943,696.8936767578125,35.95228082885742,621.4491369628906,955.653616333008,-196.82748413085938,52664.25,1.0,3.1403954051602874,1.2838388194624661,2.573226194820149,-0.3372453797382976,False,
7,TOI_3505.01-20260714T190730Z-1-005.zip,TOI_3505.01/TOI_3505.01_50.000s_R-0007.fits,ebbfe09c,TOI_3505.01_50.000s_R-0007_out.fits,data/ground/toi3505/reduced/TOI_3505.01_50.000s_R-0007_out.fits,67115520,resumed-existing,2022-07-22T02:19:59.29,2459782.602808816,1.296785181174721,-20.34375,50.0,Red,TOI_3505.01,False,,2.288818359375e-05,0.16889295899818535,,,,,,,,,708.4667331114597,684.5409240722656,34.500719146728514,612.4933380126953,948.0760473632813,-170.2429962158203,52738.4609375,1.0,2.9692877386558565,0.8798357100363279,2.4672950461780245,0.0,False,
8,TOI_3505.01-20260714T190730Z-1-006.zip,TOI_3505.01/TOI_3505.01_50.000s_R-0008.fits,3288b751,TOI_3505.01_50.000s_R-0008_out.fits,data/ground/toi3505/reduced/TOI_3505.01_50.000s_R-0008_out.fits,67115520,resumed-existing,2022-07-22T02:21:05.11,2459782.6035703677,1.2930286206576433,-20.40625,50.0,Red,TOI_3505.01,False,,3.814697265625e-06,0.1455175839982985,,,,,,,,,669.8750412977497,644.7596435546875,33.89759848022461,573.7915417480468,921.9586334228518,-226.4794158935547,52640.28125,1.0,2.4182460191947968,0.7119733121605589,2.1021848545948636,-0.5620756328971627,False,
9,TOI_3505.01-20260714T190730Z-1-005.zip,TOI_3505.01/TOI_3505.01_50.000s_R-0009.fits,93ee06a1,TOI_3505.01_50.000s_R-0009_out.fits,data/ground/toi3505/reduced/TOI_3505.01_50.000s_R-0009_out.fits,67115520,resumed-existing,2022-07-22T02:22:10.79,2459782.604330554,1.2893222508587423,-20.375,50.0,Red,TOI_3505.01,False,,1.1444091796875e-05,0.12645849999898928,,,,,,,,,654.6220321332657,629.4148864746094,33.66082950439453,559.1707977294922,906.7277221679688,-269.423583984375,52569.55078125,1.0,2.205693753000594,0.6460750429869722,1.8892632790154318,-0.3372453797382976,False,
10,TOI_3505.01-20260714T190730Z-1-005.zip,TOI_3505.01/TOI_3505.01_50.000s_R-0010.fits,78bf8a3d,TOI_3505.01_50.000s_R-0010_out.fits,data/ground/toi3505/reduced/TOI_3505.01_50.000s_R-0010_out.fits,67115520,resumed-existing,2022-07-22T02:23:16.54,2459782.6050918396,1.285653557341722,-20.40625,50.0,Red,TOI_3505.01,False,,1.52587890625e-05,0.14424370800043107,,,,,,,,,645.0066479162015,619.4307556152344,32.52489946289062,550.9170544433593,898.0679705810553,-256.13134765625,52472.78125,1.0,2.0673957252726227,0.32991950202155146,1.7682036837518225,-0.22483025315886507,False,
