sector,pipeline,cycle,predicted_bjd,measured_bjd,time_error_days,observed_minus_calculated_minutes,depth_ppt,depth_error_ppt,depth_snr,points,full_local_window,reduced_chi2,residual_scatter_ppt,used_in_ephemeris
14,QLP,-380,2458685.775257,2458685.759257,0.006499999999999999,-23.03999975323677,3.4821337467735347,0.9216006302750188,3.7783543461058793,19,True,0.3009453867524036,0.5386032630801092,True
14,QLP,-379,2458688.6904126,2458688.6799126,0.0045000000000000005,-15.119999796152115,4.510366781572667,0.9034839052133147,4.992193834939163,19,True,0.5256406271167572,0.9411412715802314,True
14,QLP,-376,2458697.4358794,2458697.3698794,0.005499999999999998,-95.04000015556812,-5.820652028461769,2.160644640959922,-2.6939423161579192,7,False,0.3613549027274475,0.5662837026751447,False
14,QLP,-375,2458700.351035,2458700.354535,0.005499999999999998,5.040000155568123,4.359334695218934,0.891863793952951,4.887892887654215,20,True,0.8525712954955795,0.5649148985831212,True
14,QLP,-374,2458703.2661906,2458703.2771906,0.014000000000000005,15.839999914169312,4.179810628535499,1.752619776054968,2.3848929959834058,11,False,0.1783938186402415,0.32203769066698457,False
14,QLP,-372,2458709.0965017998,2458709.1170018,0.0049999999999999975,29.520000144839287,3.4052388581023862,0.9203279074672013,3.7000278166874367,19,True,1.0156602668206052,1.1873590853122664,True
41,QLP,-128,2459420.3944682,2459420.3979682,0.0037499999999999964,5.040000155568123,1.999028656673266,0.7175744570106911,2.785813565606729,58,True,1.4196526526827442,2.0001696104828683,True
41,QLP,-127,2459423.3096237998,2459423.3051238,0.0020000000000000018,-6.4799997210502625,4.232017123063538,0.6001098766702295,7.052070441741959,58,True,0.9317262224733952,1.5824740956770567,True
41,QLP,-126,2459426.2247794,2459426.1547794,0.07,-100.79999975860119,0.0,0.0,,13,True,0.8783748345183093,2.0869194151480848,False
41,QLP,-125,2459429.139935,2459429.1359349997,0.003500000000000003,-5.7600002735853195,4.177285482558144,0.5980196388903498,6.985197827799218,57,True,0.6509044138062181,1.355576138134389,True
41,QLP,-124,2459432.0550905997,2459432.0520905997,0.0025000000000000022,-4.320000037550926,2.9271126199947397,0.595866683210074,4.912361611200841,58,True,0.6854731065618755,1.490561609028926,True
41,QLP,-123,2459434.9702462,2459434.9827462,0.013000000000000005,18.0000002682209,2.877777966930166,0.6754813834720786,4.260336461292157,58,True,1.2811624559256423,2.160415392445523,True
41,QLP,-122,2459437.8854018,2459437.8914018,0.0020000000000000018,8.640000075101852,3.5474039590909237,0.6004147421722607,5.9082559269891535,58,True,0.6345170904167952,1.6637116872752065,True
41,QLP,-121,2459440.8005574,2459440.7980574,0.0025000000000000022,-3.5999999195337296,2.362819958666279,0.6019193130321655,3.9254762349517995,57,True,0.8303083869828465,1.5631596756626258,True
