sector,pipeline,series,flux_column,cadence_minutes,depth_ppt_fixed_2_004h,depth_error_ppt,midpoint_offset_minutes,offset_low_minutes,offset_high_minutes,crowdsap,flfrcsap,same_observation_note,file
14,QLP,corrected,KSPSAP_FLUX,29.999999999999993,3.5166605664285586,0.3994816273595908,-4.320000000000004,-14.400000000000002,1.4400000000000013,,,pipeline/extraction check; not an independent astronomical observation,hlsp_qlp_tess_ffi_s0014-0000000390988385_tess_v01_llc.fits
14,QLP,raw,SAP_FLUX,29.999999999999993,3.507295761412707,0.39967714179067654,-4.320000000000004,-14.400000000000002,1.4400000000000013,,,pipeline/extraction check; not an independent astronomical observation,hlsp_qlp_tess_ffi_s0014-0000000390988385_tess_v01_llc.fits
41,QLP,corrected,KSPSAP_FLUX,10.0,3.0362545992830356,0.21123426062820644,-4.320000000000004,-5.760000000000005,-2.8800000000000026,,,pipeline/extraction check; not an independent astronomical observation,hlsp_qlp_tess_ffi_s0041-0000000390988385_tess_v01_llc.fits
41,QLP,raw,SAP_FLUX,10.0,3.135322299994331,0.21123001774265174,-4.320000000000004,-5.760000000000005,-2.8800000000000026,,,pipeline/extraction check; not an independent astronomical observation,hlsp_qlp_tess_ffi_s0041-0000000390988385_tess_v01_llc.fits
54,QLP,corrected,KSPSAP_FLUX,10.0,2.6856234436356066,0.2976439307551446,-2.8800000000000026,-5.760000000000005,4.319999999999994,,,pipeline/extraction check; not an independent astronomical observation,hlsp_qlp_tess_ffi_s0054-0000000390988385_tess_v01_llc.fits
54,QLP,raw,SAP_FLUX,10.0,2.808877077076446,0.29909422310752487,-2.8800000000000026,-5.760000000000005,4.319999999999994,,,pipeline/extraction check; not an independent astronomical observation,hlsp_qlp_tess_ffi_s0054-0000000390988385_tess_v01_llc.fits
54,SPOC,corrected,PDCSAP_FLUX,2.0,2.8258737329341175,0.11180683195285024,-2.8800000000000026,-2.8800000000000026,-2.8800000000000026,0.79649907,0.76191914,pipeline/extraction check; not an independent astronomical observation,tess2022190063128-s0054-0000000390988385-0227-s_lc.fits
54,SPOC,raw,SAP_FLUX,2.0,2.2765773575933745,0.10129554659186978,-2.8800000000000026,-2.8800000000000026,-2.8800000000000026,0.79649907,0.76191914,pipeline/extraction check; not an independent astronomical observation,tess2022190063128-s0054-0000000390988385-0227-s_lc.fits
54,TESS-SPOC,corrected,PDCSAP_FLUX,10.0,3.021240097039098,0.12306381536785957,-1.4400000000000013,-2.8800000000000026,0.0,0.74545228,0.72691441,pipeline/extraction check; not an independent astronomical observation,hlsp_tess-spoc_tess_phot_0000000390988385-s0054_tess_v1_lc.fits
54,TESS-SPOC,raw,SAP_FLUX,10.0,2.2856571584648364,0.09914019044708304,-2.8800000000000026,-4.320000000000004,-1.4400000000000013,0.74545228,0.72691441,pipeline/extraction check; not an independent astronomical observation,hlsp_tess-spoc_tess_phot_0000000390988385-s0054_tess_v1_lc.fits
81,QLP,corrected,DET_FLUX,3.3333333333333317,3.1780367492261083,0.24524770506444718,-5.760000000000005,-7.200000000000006,1.4400000000000013,,,pipeline/extraction check; not an independent astronomical observation,hlsp_qlp_tess_ffi_s0081-0000000390988385_tess_v01_llc.fits
81,QLP,raw,SAP_FLUX,3.3333333333333317,3.366574668484362,0.2449150078636603,-5.760000000000005,-7.200000000000006,1.4400000000000013,,,pipeline/extraction check; not an independent astronomical observation,hlsp_qlp_tess_ffi_s0081-0000000390988385_tess_v01_llc.fits
81,SPOC,corrected,PDCSAP_FLUX,2.000000000000016,3.0235511170584775,0.1226724462815042,-8.640000000000002,-11.520000000000005,-8.640000000000002,0.79754138,0.77763832,pipeline/extraction check; not an independent astronomical observation,tess2024196212429-s0081-0000000390988385-0276-s_lc.fits
81,SPOC,raw,SAP_FLUX,2.000000000000016,2.4315976067740537,0.1017870934102627,-1.4400000000000013,-1.4400000000000013,-1.4400000000000013,0.79754138,0.77763832,pipeline/extraction check; not an independent astronomical observation,tess2024196212429-s0081-0000000390988385-0276-s_lc.fits
81,TESS-SPOC,corrected,PDCSAP_FLUX,3.3333333333333117,3.295353264065762,0.13252417172559933,-2.8800000000000026,-4.320000000000004,-2.8800000000000026,0.73030967,0.78080678,pipeline/extraction check; not an independent astronomical observation,hlsp_tess-spoc_tess_phot_0000000390988385-s0081_tess_v1_lc.fits
81,TESS-SPOC,raw,SAP_FLUX,3.3333333333333117,2.4189061605783384,0.0988235814001436,0.0,-2.8800000000000026,2.879999999999993,0.73030967,0.78080678,pipeline/extraction check; not an independent astronomical observation,hlsp_tess-spoc_tess_phot_0000000390988385-s0081_tess_v1_lc.fits
