relative_path,file_name,bytes,sha256,target,sector,pipeline,data_release,cadence_seconds,camera,ccd,time_start_btjd,time_stop_btjd,extensions
data_validation/mastDownload/TESS/tess2022190063128-s0054-0000000390988385-0227-s/tess2022190092448-s0054-s0054-0000000390988385-00645_dvm.pdf,tess2022190092448-s0054-s0054-0000000390988385-00645_dvm.pdf,6753415,3884c17faa85fe8e1595c043c2340d4e2a34e9ea78ea3033f770a2324b6d2535,390988385,54,SPOC Data Validation,,,,,,,pdf
data_validation/mastDownload/TESS/tess2022190063128-s0054-0000000390988385-0227-s/tess2022190092448-s0054-s0054-0000000390988385-00645_dvr.pdf,tess2022190092448-s0054-s0054-0000000390988385-00645_dvr.pdf,19095895,c7b7546985b5a71f04c7e5554b5f0f038a84ae0253db7f421783cc5d0af572e5,390988385,54,SPOC Data Validation,,,,,,,pdf
data_validation/mastDownload/TESS/tess2022190063128-s0054-0000000390988385-0227-s/tess2022190092448-s0054-s0054-0000000390988385-00645_dvr.xml,tess2022190092448-s0054-s0054-0000000390988385-00645_dvr.xml,119424,ab17f88f2e3792ba3153407a907531190ccadc284a72df8bf9c9bdc4d4e4bb4d,390988385,54,SPOC Data Validation,,,,,,,xml
data_validation/mastDownload/TESS/tess2022190063128-s0054-0000000390988385-0227-s/tess2022190092448-s0054-s0054-0000000390988385-00645_dvt.fits,tess2022190092448-s0054-s0054-0000000390988385-00645_dvt.fits,3810240,249830a7518b424b464c04513f17119b928c7426c9bf992ea2bd00ec381f6bcb,TIC 390988385,54,NASA/Ames,78,120.0,,,2769.89736233781,2796.133598790614,"PRIMARY,TCE_1,Statistics"
data_validation/mastDownload/TESS/tess2022190063128-s0054-0000000390988385-0227-s/tess2022190092448-s0054-s0054-0000000390988385-01-00645_dvs.pdf,tess2022190092448-s0054-s0054-0000000390988385-01-00645_dvs.pdf,1009398,b4ebebb72e9aad8e9c0118ee4d442e0aea2c9c9416ef48ba2d463da8395b9712,390988385,54,SPOC Data Validation,,,,,,,pdf
data_validation/mastDownload/TESS/tess2024196212429-s0081-0000000390988385-0276-s/tess2024197010539-s0081-s0081-0000000390988385-00910_dvm.pdf,tess2024197010539-s0081-s0081-0000000390988385-00910_dvm.pdf,6977219,ed46098dfb7b1e02c52e2491c9c46428dcd3a9f7e2adc5e9d9e489d4fd6b46f2,390988385,81,SPOC Data Validation,,,,,,,pdf
data_validation/mastDownload/TESS/tess2024196212429-s0081-0000000390988385-0276-s/tess2024197010539-s0081-s0081-0000000390988385-00910_dvr.pdf,tess2024197010539-s0081-s0081-0000000390988385-00910_dvr.pdf,19032051,94709daacf910c5060ece573f62bbdbef1ab0dc5bdba5ac5cbe7357cf6e14c7b,390988385,81,SPOC Data Validation,,,,,,,pdf
data_validation/mastDownload/TESS/tess2024196212429-s0081-0000000390988385-0276-s/tess2024197010539-s0081-s0081-0000000390988385-00910_dvr.xml,tess2024197010539-s0081-s0081-0000000390988385-00910_dvr.xml,121162,0f52f618285e779f19a806dbd74f42aad8f0c6b2794c2405e370c6717cef7a29,390988385,81,SPOC Data Validation,,,,,,,xml
data_validation/mastDownload/TESS/tess2024196212429-s0081-0000000390988385-0276-s/tess2024197010539-s0081-s0081-0000000390988385-00910_dvt.fits,tess2024197010539-s0081-s0081-0000000390988385-00910_dvt.fits,3864960,09192ac56942a4e9e5ada0de95087e7b8ad9df74b57183cfa0f23d5fefb3007f,TIC 390988385,81,NASA/Ames,114,120.00000000000097,,,3506.550869041633,3533.181339138333,"PRIMARY,TCE_1,Statistics"
data_validation/mastDownload/TESS/tess2024196212429-s0081-0000000390988385-0276-s/tess2024197010539-s0081-s0081-0000000390988385-01-00910_dvs.pdf,tess2024197010539-s0081-s0081-0000000390988385-01-00910_dvs.pdf,965870,775558a6cf1e43eab3dd947e39e258ad8136e724389007dee06aefea9d7d8c4e,390988385,81,SPOC Data Validation,,,,,,,pdf
